,CH1,CH2,CH3,CH4,,Gate Volteage,Drain Voltage,Drain Current
94,1280,-131,11895,1281,,0.1,-2.04688E-05,8.00625E-05
95,783,-128,11894,-100,,0.061171875,-0.00002,-0.00000625
96,891,0,12796,120,,0.069609375,0,0.0000075
97,1147,-128,12431,1777,,0.089609375,-0.00002,0.000111063
98,1281,-380,11904,1654,,0.100078125,-0.000059375,0.000103375
99,1026,128,12158,778,,0.08015625,0.00002,0.000048625
100,1024,-259,12419,642,,0.08,-4.04688E-05,0.000040125
101,1022,-3,12673,252,,0.07984375,-4.6875E-07,0.00001575
102,1280,-2,12156,3,,0.1,-3.125E-07,1.875E-07
103,1152,-128,12403,382,,0.09,-0.00002,0.000023875
104,1407,-121,13056,-4,,0.109921875,-1.89063E-05,-0.00000025
105,1286,385,11173,-252,,0.10046875,6.01563E-05,-0.00001575
106,1020,-253,9472,-1027,,0.0796875,-3.95313E-05,-6.41875E-05
107,1523,-134,11053,495,,0.118984375,-2.09375E-05,3.09375E-05
108,1309,-378,13025,896,,0.102265625,-5.90625E-05,0.000056
109,889,-512,13073,1138,,0.069453125,-0.00008,0.000071125
110,1405,-256,11256,1024,,0.109765625,-0.00004,0.000064
111,1280,259,10971,-256,,0.1,4.04688E-05,-0.000016
112,1279,-256,13705,143,,0.099921875,-0.00004,8.9375E-06
113,1024,383,13470,638,,0.08,5.98438E-05,0.000039875
114,1283,-4,12032,615,,0.100234375,-0.000000625,3.84375E-05
115,1281,0,12027,-1021,,0.100078125,0,-6.38125E-05
116,896,-1,12167,-252,,0.07,-1.5625E-07,-0.00001575
117,1151,-253,12427,122,,0.089921875,-3.95313E-05,0.000007625
118,1024,-256,11015,510,,0.08,-0.00004,0.000031875
119,1397,123,10397,-247,,0.109140625,1.92188E-05,-1.54375E-05
120,1414,-121,9837,233,,0.11046875,-1.89063E-05,1.45625E-05
121,1031,-263,11444,745,,0.080546875,-4.10938E-05,4.65625E-05
122,1024,-3,11292,1149,,0.08,-4.6875E-07,7.18125E-05
123,895,5,8835,681,,0.069921875,7.8125E-07,4.25625E-05
124,1024,-386,11791,-768,,0.08,-6.03125E-05,-0.000048
125,896,0,13949,238,,0.07,0,0.000014875
126,1025,510,12362,126,,0.080078125,7.96875E-05,0.000007875
127,1281,-260,8967,-257,,0.100078125,-0.000040625,-1.60625E-05
128,1274,-382,10560,381,,0.09953125,-5.96875E-05,2.38125E-05
129,894,-383,12032,491,,0.06984375,-5.98438E-05,3.06875E-05
130,1024,-383,14597,2432,,0.08,-5.98438E-05,0.000152
131,1151,-13,13217,522,,0.089921875,-2.03125E-06,0.000032625
132,1152,14,11400,-157,,0.09,2.1875E-06,-9.8125E-06
133,1146,-785,10966,2129,,0.08953125,-0.000122656,0.000133063
134,1162,241,12190,1830,,0.09078125,3.76563E-05,0.000114375
135,770,-253,9988,1426,,0.06015625,-3.95313E-05,0.000089125
136,1024,270,11394,-134,,0.08,4.21875E-05,-0.000008375
137,1280,-8,10496,-3,,0.1,-0.00000125,-1.875E-07
138,1281,-373,10494,525,,0.100078125,-5.82813E-05,3.28125E-05
139,1408,389,9339,1143,,0.11,6.07813E-05,7.14375E-05
140,1145,-162,9615,-139,,0.089453125,-2.53125E-05,-8.6875E-06
141,1024,-379,9990,1041,,0.08,-5.92188E-05,6.50625E-05
142,1029,129,11168,1770,,0.080390625,2.01563E-05,0.000110625
143,1409,-130,12416,640,,0.110078125,-2.03125E-05,0.00004
144,1281,0,11628,638,,0.100078125,0,0.000039875
145,1155,-132,9619,-119,,0.090234375,-0.000020625,-7.4375E-06
146,1020,255,10496,-128,,0.0796875,3.98438E-05,-0.000008
147,1412,8,12629,636,,0.1103125,0.00000125,0.00003975
148,1023,-128,12537,381,,0.079921875,-0.00002,2.38125E-05
149,1408,-514,11002,0,,0.11,-8.03125E-05,0
150,890,3,11140,1294,,0.06953125,4.6875E-07,0.000080875
151,1152,-128,11009,1152,,0.09,-0.00002,0.000072
152,1015,136,11404,1669,,0.079296875,0.00002125,0.000104313
153,1028,256,11252,1148,,0.0803125,0.00004,0.00007175
154,1272,-16,10499,750,,0.099375,-0.0000025,0.000046875
155,766,-384,11400,262,,0.05984375,-0.00006,0.000016375
156,1024,128,11645,1296,,0.08,0.00002,0.000081
157,637,-256,11521,1148,,0.049765625,-0.00004,0.00007175
158,910,386,11392,257,,0.07109375,6.03125E-05,1.60625E-05
159,1280,-241,11021,1538,,0.1,-3.76563E-05,0.000096125
160,1024,-385,11124,-228,,0.08,-6.01563E-05,-0.00001425
161,1137,-139,11655,-936,,0.088828125,-2.17188E-05,-0.0000585
162,1407,384,10868,251,,0.109921875,0.00006,1.56875E-05
163,1281,-6,10627,245,,0.100078125,-9.375E-07,1.53125E-05
164,1024,-254,9990,1531,,0.08,-3.96875E-05,9.56875E-05
