,CH1,CH2,CH3,CH4
0,-384,-128,-260,-262
1,-385,-129,128,-256
2,-385,128,-257,-768
3,-246,-1,4,-1024
4,125,0,-2,-378
5,-391,0,-129,383
6,-382,-128,-126,-639
7,-384,3,-127,122
8,-387,-256,-512,-640
9,-130,1,-128,-1025
10,2,-127,128,-887
11,-639,127,-131,-256
12,-260,-257,-384,-640
13,-130,-129,-384,-257
14,0,-128,-384,-512
15,-139,128,-126,-381
16,-773,-132,-2,-256
17,-371,-255,-128,-388
18,-124,1,128,-640
19,-271,0,0,-512
20,-763,-1,-255,-510
21,123,256,-256,-768
22,-254,-3,0,-382
23,-384,-126,-134,-259
24,-256,-1,-386,-642
25,-257,-256,-384,-641
26,-122,-2,-2,-767
27,-512,-1,0,-517
28,-125,127,-2,1
29,-390,-260,-384,-387
30,-509,-255,1,-765
31,-255,-127,-2,-384
32,-385,128,-384,-768
33,-256,-379,-132,-388
34,-381,-256,128,254
35,-513,0,-386,-653
36,-129,-260,-124,-894
37,-256,-382,-130,-632
38,-256,-128,-512,-257
39,-255,-256,-1,-768
40,-512,126,-382,-256
41,-253,-1,-128,-896
42,-258,-2,-256,-1024
43,-390,-386,0,-513
44,-505,-255,-388,-767
45,136,0,-384,-253
46,-3,-122,-386,-764
47,-509,-386,-128,-1280
48,-390,258,-384,-1152
49,-127,-399,3,130
50,-640,-634,-1,-524
51,-258,-125,-129,-640
52,-129,-256,-128,-512
53,-3,-388,-1,-513
54,0,128,-2,-766
55,-136,-258,-384,-249
56,-382,-254,-127,-269
57,6,-128,-257,-895
58,-268,-128,-128,-253
59,-638,-1,-127,-512
60,-135,0,-130,-258
61,-253,-258,-1,-512
62,-258,-382,-385,-770
63,-128,257,-250,-897
64,-383,-2,129,-896
65,-383,-256,0,128
66,-516,4,0,-637
67,3,-512,1,-128
68,-134,137,-385,-905
69,-515,-7,-124,-1147
70,-510,-254,-1,-375
71,-383,128,-258,-391
72,-254,-256,-384,-895
73,-129,-4,-258,-384
74,-380,0,-2,-775
75,-386,0,127,-1152
76,0,126,-129,-756
77,-385,-382,-128,-388
78,-128,256,-128,-767
79,-381,-254,-129,-256
80,-384,-256,-1,-892
81,-252,-128,0,-638
82,0,-128,1,-385
83,-264,0,-2,-384
84,-249,0,-256,-256
85,-133,128,1,-384
86,-512,135,0,-381
87,-138,-385,-128,-384
88,-121,-127,0,512
89,-640,-256,0,-384
90,-131,130,-385,-377
91,-379,256,-128,-2
92,-389,-127,-128,-640
93,-7,0,-127,-517
94,128,-129,-129,-513
95,-2,126,128,-638
96,-257,1,128,-1152
97,-254,-257,3,-772
98,-258,-2,-384,-763
99,-512,1,-131,-796
100,-394,126,-131,258
101,-128,256,128,-763
102,-382,128,-256,-130
103,-257,-256,0,-257
104,-127,126,-128,3
105,-254,1,0,-514
106,-142,123,-256,-119
107,-2,128,-128,-896
108,-510,-2,-384,-258
109,135,-256,-128,-384
110,-135,-127,385,-255
111,-385,-256,128,-256
112,-259,-259,-132,-258
113,-122,0,256,-254
114,-509,-128,-256,-768
115,-385,-2,-1,-639
116,-256,-512,-385,-386
117,-509,0,-256,-898
118,-643,-384,-512,-771
119,-263,-6,-132,-520
120,-128,0,1,-253
121,-259,-256,256,-766
122,-383,-256,-516,-382
123,-388,0,-255,-256
124,-509,-128,-128,-510
125,0,-4,-256,-761
126,-372,3,-258,-906
127,-386,-512,-129,-3
128,-384,-253,-128,-764
129,-383,-128,-513,-1024
130,-388,-256,-2,-643
131,-132,-384,-251,-383
132,-129,-262,-139,-901
133,-129,-1,512,384
134,-385,-128,-512,-384
135,-254,0,-255,-385
136,-398,-127,-130,-639
137,-766,256,-640,1
138,-253,-127,-259,-256
139,-385,-130,-257,-382
140,-127,-128,-127,-770
141,-386,-256,-512,-384
142,0,-128,1,-768
143,-511,-128,0,-384
144,-387,0,0,-769
145,-385,-254,-257,-258
146,-256,-129,0,-634
147,-255,-128,-256,-512
148,-1,130,-256,384
149,-257,125,0,-529
150,5,-258,-256,-1024
151,-6,-257,-128,-383
152,-767,-131,-257,-767
153,-391,-127,-1,-640
154,-379,-512,-129,-895
155,-641,-255,-128,-256
156,-256,-255,-130,-384
157,-252,1,-512,-128
158,-640,0,-7,-509
159,-258,-1,8,-393
160,-260,0,-384,3
161,-643,-128,1,-894
162,-510,-1,1,-645
163,-383,-257,126,-639
164,-128,253,-382,-636
165,-256,6,-385,-661
166,6,-128,-385,384
167,-512,-127,-2,-773
168,-5,0,128,-768
169,-251,-131,128,-766
170,-385,-255,1,-127
171,-256,127,-256,-512
172,-263,-126,-1,-255
173,131,0,-128,-768
174,-3,-258,-1,-257
175,-388,-512,-258,-1025
176,-512,-2,-384,-382
177,-514,1,-257,-385
178,-640,-385,-259,-124
179,-263,0,0,-767
180,-132,-256,-128,-134
181,127,-255,129,-127
182,0,-256,128,-384
183,-639,-256,127,-641
184,-391,126,-127,-126
185,-128,260,-132,-1017
186,-256,-126,128,-515
187,-126,-258,-384,-256
188,-2,-511,-638,-256
189,-257,2,-254,-512
190,-129,0,-128,-129
191,-384,-128,-125,-766
192,-129,-639,-383,-640
193,-383,-510,-128,128
194,-257,-126,128,-643
195,-384,1,-131,-511
196,-384,256,-128,-639
197,-387,125,0,-256
198,-127,-382,-254,-514
199,-518,-258,-129,-128
200,-632,127,-1,-768
201,131,-129,-256,-512
202,-397,0,1,-768
203,-246,0,-258,-128
204,-1,129,-255,-640
205,-256,-382,-256,-128
206,-127,129,-384,-768
207,-384,-11,-256,-644
208,-256,-513,129,-1013
209,-512,-123,-4,256
210,-386,-130,-384,-899
211,-384,-511,-256,-383
212,-384,-256,-256,-1152
213,-382,1,-512,-630
214,-257,-2,-123,-255
215,-386,-128,-1,-390
216,-387,2,-1,-638
217,-510,-2,-128,-385
218,-255,-384,-129,-766
219,-383,3,-128,-512
220,-257,-2,-128,-129
221,-128,-1,-130,-647
222,-256,2,-258,-895
223,-128,126,-128,-385
224,-129,-384,255,-1148
225,0,126,129,-520
226,-3,127,-1,-128
227,-258,2,-128,-387
228,-255,126,0,-898
229,-256,-385,0,-769
230,-256,-128,0,-894
231,-256,-383,-256,-260
232,-257,-256,-256,-3
233,-256,-387,-129,-518
234,-384,-251,-385,-640
235,-384,254,-256,-637
236,-512,-386,-384,-384
237,-641,-256,-258,-512
238,-386,-128,-129,256
239,-255,1,-129,-512
240,-128,253,-383,-1024
241,-265,-257,128,-510
242,-507,-1,-389,-640
243,-128,-383,-255,-383
244,-513,379,-258,-383
245,-260,1,127,-640
246,-254,2,-130,-1024
247,-385,-4,-254,-251
248,-129,-256,129,-260
249,-257,3,-2,-385
250,131,0,0,-513
251,-629,-259,0,-514
252,-509,127,-129,-1026
253,-514,-513,-128,-633
254,-380,5,-258,-517
255,-255,-258,-384,-771
256,-255,-384,-256,-764
257,-258,126,-253,-512
258,-387,0,-385,-1025
259,-254,-513,130,-128
260,-513,-126,256,-259
261,-2,128,124,-770
262,-128,-2,-129,-640
263,-128,-383,-128,-384
264,-256,-261,-511,-385
265,-258,-128,-514,-384
266,-512,-261,0,-894
267,-250,-383,-257,-386
268,-264,4,0,-1025
269,-766,384,-257,-251
270,9,128,-128,-258
271,-1,1,-257,-128
272,-249,-129,-1,-388
273,-641,-130,-1,-1033
274,-130,-640,-128,-1136
275,-257,5,0,-129
276,-255,0,0,-897
277,-511,-127,-384,-256
278,-383,-384,-2,-1279
279,-256,130,-1,-253
280,-254,-129,-130,-516
281,-124,-126,-258,-256
282,-132,0,-383,-386
283,-254,-128,-128,-768
284,0,-258,-257,-769
285,-128,-129,-1,-768
286,0,-382,-129,-635
287,-254,259,-256,0
288,-386,-130,1,-646
289,-130,-256,128,-636
290,-252,-514,-383,-384
291,-385,-131,-260,-524
292,-256,-382,-254,129
293,-384,-387,-384,-766
294,-127,-383,-1,-512
295,-388,-771,-252,-899
296,-640,124,-260,-380
297,-512,4,126,-1282
298,-385,128,-124,-267
299,-384,0,-128,-512
300,-384,128,128,0
301,-384,-511,-2,-639
302,-390,-134,-256,-256
303,-124,5,-128,-768
304,-626,-386,-261,-256
305,-511,-2,1,-896
306,-257,0,-512,-642
307,-515,126,0,-512
308,-383,-256,-386,-896
309,-254,0,-512,-384
310,255,-253,-258,-253
311,-107,-257,-2,-766
312,-518,-256,128,-896
313,128,-256,256,1
314,-509,-257,254,-516
315,-639,-384,-128,-385
316,-899,-257,-128,-769
317,-391,-260,-382,-383
318,-384,0,-255,-770
319,-383,-512,0,-4
320,-258,-128,-515,-386
321,-384,-256,-126,-512
322,-257,-128,128,-642
323,-512,-258,257,-510
324,-260,1,-124,-771
325,-260,-384,-256,-381
326,124,3,-256,-1024
327,6,-2,-257,-510
328,-385,-384,-2,-513
329,-130,-2,126,-383
330,-375,2,132,-771
331,-384,0,-384,-128
332,-256,0,-384,-768
333,-386,-128,-128,-639
334,-381,-129,-384,-510
335,-388,-385,-128,-129
336,-640,-257,1,-768
337,-382,-130,-3,-257
338,-380,0,257,-893
339,-516,-1,-258,-514
340,125,-257,1,-512
341,-254,-129,-128,-385
342,-517,-384,0,-257
343,-123,-260,-128,-253
344,-768,-129,-254,-766
345,-249,0,-640,-512
346,127,125,-128,-128
347,-131,-258,-128,-389
348,-128,1,-128,-512
349,-255,129,-512,-386
350,-128,-254,-131,-895
351,-386,-1,-256,-640
352,-127,0,-257,-512
353,-636,-127,-512,-512
354,-640,256,-255,-384
355,-386,-2,-256,-512
356,-257,-128,254,-514
357,-257,-127,3,-133
358,3,-256,1,-126
359,125,-127,-384,-637
360,-261,1,129,-898
361,-253,257,-257,-641
362,0,-128,-129,-640
363,-256,3,1,-396
364,-248,-384,-382,-128
365,-642,-255,-384,-641
366,-131,-257,-383,-383
367,-382,-125,-126,-383
368,-130,127,127,-130
369,-2,-382,1,-896
370,132,-511,-129,-129
371,-128,-384,128,-643
372,0,0,254,-768
373,-389,-256,-257,-638
374,-513,-128,129,-256
375,-509,-255,129,-640
376,-257,-384,-256,-380
377,-386,-256,-2,-1152
378,-130,-128,-256,-265
379,-256,-1,-384,-127
380,-256,-256,-255,-512
381,-512,0,-128,-897
382,-263,-257,-127,-383
383,6,253,-386,-1018
384,-513,-126,128,-517
385,-254,-256,-128,128
386,-387,-127,0,-512
387,-251,-257,-257,-385
388,127,-384,-256,-639
389,-128,-130,-390,-130
390,2,-127,253,-128
391,-509,-384,-128,-386
392,-515,-127,-385,-514
393,-256,-129,-381,-767
