,CH1,CH2,CH3,CH4
0,-1,22913,-256,-1021
1,-375,23168,0,-508
2,-384,22913,-256,-1026
3,-1,22910,0,-254
4,-388,22398,-128,-899
5,-252,22659,-1,-890
6,-261,22656,-384,-642
7,-507,22656,128,-1025
8,128,23299,130,-770
9,-765,22528,-128,-510
10,-257,23172,5,-518
11,-513,22908,253,-1027
12,-128,22914,-386,-764
13,-384,23039,-126,-639
14,-1,22784,259,-384
15,-254,22656,-255,-765
16,-257,22656,129,-1152
17,-383,22785,-1,-1024
18,-260,23041,3,-763
19,-511,23168,254,-386
20,-257,23166,-260,-1153
21,-641,22651,-259,-769
22,-517,23423,-129,-1024
23,-257,22782,-127,-768
24,-256,23164,130,-895
25,-385,22393,126,-642
26,-129,22789,-258,-1025
27,-251,23040,-128,-769
28,-517,23038,-1,-1281
29,-127,23166,128,-1019
30,-524,22655,-1,-761
31,-502,22918,-131,-526
32,-129,23168,-384,-1667
33,-517,23040,0,-887
34,-510,22912,126,-768
35,-267,22912,258,-1155
36,130,23039,-258,-512
37,-381,22784,-255,-1025
38,-257,23040,5,-769
39,-256,22783,255,-1152
40,-384,22782,-128,-768
41,-382,23294,-1,-893
42,-513,22912,1,-768
43,-382,22781,-255,-257
44,-253,22657,-1,-774
45,-130,22915,-255,-761
46,-385,23039,256,-385
47,-256,22656,-131,-897
48,-384,22782,-385,-768
49,-135,22914,127,-1283
50,129,23295,-128,-1150
51,-382,22655,129,-884
52,-385,23170,127,-256
53,-513,22912,-128,-774
54,-130,23295,125,-1024
55,-385,23168,1,-898
56,-384,22783,-129,-767
57,-519,22912,-255,-640
58,-502,22912,2,-640
59,-129,22912,128,-640
60,-517,22784,127,-640
61,-384,23029,0,-1409
62,-388,23423,0,-640
63,-129,22779,-2,-896
64,-255,22657,-384,-256
65,-127,22785,-255,-773
66,-385,23040,-128,-504
67,-127,23040,-129,-256
68,-510,23168,128,-1263
69,-256,23040,-125,-1160
70,-384,22914,-128,-514
71,-255,22656,128,-766
72,-127,22909,-258,-1152
73,-131,22915,382,-1150
74,-512,22779,7,-1298
75,-397,23165,251,-385
76,0,23041,256,-1149
77,-379,22784,0,-768
78,-385,22911,-255,-1283
79,-255,23043,255,-127
80,-262,22654,4,-1395
81,-2,23166,-8,-777
82,-128,22784,256,-1536
83,1,23168,0,-1539
84,-134,22652,128,-896
85,-251,22786,-1,-514
86,256,22912,0,-768
87,-256,23037,-386,-898
88,-130,23168,127,-895
89,-505,22912,-256,-1280
90,-769,22783,-126,-128
91,-259,22658,385,-1156
92,-129,23296,128,-383
93,-121,22785,255,-765
94,-645,22908,3,-514
95,129,22912,0,-641
96,-388,22784,128,-386
97,-125,23168,-260,-642
98,-387,23040,-125,-896
99,-127,23042,512,-513
100,-257,22527,130,-764
101,-259,22913,-124,-647
102,-134,22528,-385,-381
103,2,23298,0,-1022
104,-256,22654,129,-1022
105,-129,22784,-251,-514
106,-375,22912,-388,-511
107,-395,22654,375,-770
108,-129,22912,512,-384
109,-643,22656,256,-640
110,-253,23040,-1,-771
111,-247,22655,-1,-1280
112,120,22784,-128,-639
113,-775,22783,-133,-1024
