,CH1,CH2,CH3,CH4
0,-252,11500,23031,-127
1,-368,11854,23306,103
2,-511,12088,22796,275
3,-390,10995,22894,-249
4,-254,11271,23041,-128
5,-384,11399,22910,-1
6,-252,11771,23172,-259
7,-114,11126,23296,-380
8,-157,11140,23167,-129
9,-485,11401,23042,-375
10,-9,11775,22912,-541
11,-520,11385,23154,385
12,-122,11551,23175,-630
13,-391,11774,22656,-383
14,-114,11644,23178,-236
15,-147,11640,23163,259
16,-242,11524,23165,-316
17,-19,11639,23169,-616
18,-513,11123,23419,17
19,50,11137,22916,-141
20,-188,11392,23041,-509
21,-633,12168,23165,3
22,-85,11759,23296,-266
23,-23,11373,22912,-766
24,-254,11150,23035,-237
25,20,11800,22790,-270
26,-12,11769,23303,-400
27,-136,11517,23032,-507
28,-267,11520,22915,-540
29,-377,11538,23168,-899
30,-107,11005,22788,125
31,-2,11507,22774,-120
32,-129,11271,22908,-1
33,-135,11617,22917,128
34,9,11779,22904,-265
35,-488,11552,23158,-385
36,-284,11134,23051,-508
37,-285,11394,22781,-392
38,119,11124,23279,-129
39,-125,11651,23562,-613
40,12,11029,23055,-814
41,-520,11491,23047,478
42,248,11527,22776,414
43,-345,11135,23170,-383
44,-402,11266,22657,2
45,-374,11141,23168,-515
46,-295,11648,22776,287
47,142,11128,22663,375
48,-364,11136,23042,-130
49,-256,11648,23424,127
50,-389,11142,22906,-254
51,246,11511,22656,-256
52,12,11387,23035,-261
53,-376,11009,23040,-640
54,-640,11396,22914,-249
55,-387,11517,23040,-16
56,-12,11390,22912,-905
57,141,11259,22905,-371
58,-250,11125,22659,124
59,-254,11911,23168,-259
60,-510,11137,22785,-261
61,-280,11883,23282,-370
62,117,11429,22945,-661
63,36,11252,22889,104
64,-374,11279,23174,8
65,-261,11003,22922,5
66,-380,11993,23145,-368
67,-173,12058,23310,-391
68,-113,11627,23032,-140
69,-512,12155,23423,-90
70,-251,11556,23048,-435
71,-393,11382,23290,364
72,-383,11632,22937,-198
73,-383,11906,22677,-161
74,-391,11652,22491,-222
75,-509,11648,23427,-633
76,-387,11645,22656,-404
77,-642,11520,23422,-9
78,-246,11774,23005,2
79,-2,11902,22784,-9
80,-135,11392,23169,254
81,-117,11650,23040,6
82,-150,11020,23038,-116
83,-382,11011,23039,-283
84,-95,11904,23167,387
85,0,11637,23167,-251
86,-1,11135,23048,1
87,-153,11518,23419,-512
88,-382,11520,22907,8
89,-109,11523,23303,-257
90,-149,11261,23163,100
91,-385,11628,23043,424
92,-253,11664,22655,-381
93,-394,11393,23025,236
94,-379,11518,23048,-315
95,-129,11390,23033,-400
96,-253,11639,23167,-250
97,-256,11650,23047,-279
98,-257,11663,23030,248
99,-256,11498,23056,-319
100,-385,11905,22402,-811
101,29,11459,23004,-24
102,-518,11271,22934,-370
103,237,11127,22893,-35
104,-346,11646,23407,-105
105,-420,11389,23193,-637
106,119,11519,22902,-524
107,-103,11258,23553,126
108,-128,11403,23168,-898
109,-248,11241,22659,-358
110,-143,10897,23187,131
111,-5,11654,23289,-126
112,3,11261,22782,-384
113,-125,11793,23158,380
114,-368,11893,23171,-126
115,-527,11130,22911,-128
116,0,11530,22908,-389
117,-382,11244,23296,-373
118,-11,11275,23036,10
119,-456,11531,23168,-156
120,-541,11511,22899,-238
121,111,11259,23056,-33
122,-223,11263,23297,-898
123,-400,11394,23169,15
124,-29,11523,22913,264
125,-76,11643,23041,-515
126,-517,11267,23168,-384
127,-57,11909,23165,-257
128,-79,11390,23424,-382
129,-382,11523,23168,-413
130,-264,11519,23297,-1160
131,-367,11276,23297,-629
132,-393,11122,23298,-266
133,-165,11600,22911,-642
134,-12,11804,23172,113
135,-556,11277,22907,-353
136,-620,11263,23423,-512
137,-247,11388,23037,261
138,-401,11518,23308,-433
139,-770,11396,23289,-609
140,-505,11650,22913,-31
141,-387,11520,23167,-1054
142,-523,11776,22762,-314
143,-493,11522,22793,-145
144,-254,11264,23047,-516
145,-388,11267,23167,-379
146,-243,11012,22914,-128
147,-263,11657,23043,-260
148,-421,11379,22532,-256
149,-634,11669,23331,-396
150,-361,11766,23284,-362
151,-406,11511,23155,-285
152,-502,11519,22914,-772
153,-386,11387,23181,-366
154,-521,11262,23162,-522
155,-520,11265,23172,-646
156,-647,11652,23295,-633
157,-479,11514,23169,-122
158,-256,11255,22908,-397
159,-389,11008,22787,-362
160,-241,11288,23041,-134
161,-282,11527,22911,-383
162,-501,11517,23041,-131
163,-259,11264,23038,-386
164,-533,11392,23169,1
165,-361,11263,22923,-626
166,-396,11507,22891,-410
167,-391,11529,23171,-347
168,-374,11515,22912,-1135
169,-520,11624,23039,-676
170,-275,10743,23039,-131
171,-256,11568,23299,-923
172,-141,11489,23165,-869
173,-230,11004,23152,-117
174,-644,11264,22777,-261
175,-130,11262,23063,-129
176,-250,11267,23297,-1
177,-513,11393,22651,-255
178,-256,11394,22914,-128
179,-255,11526,23166,-122
180,256,11513,22902,-1032
181,-247,11384,23086,-354
182,-255,11553,23547,-269
183,-386,11757,23145,-378
184,128,11126,23309,-133
185,-384,11271,23150,-661
186,-127,11396,23037,-768
187,-384,11647,23044,-896
188,-257,11525,23170,-636
189,-382,11776,23165,-257
190,-259,11512,23038,-522
191,-253,11665,23185,-624
192,-371,11775,23430,-271
193,-521,11500,23276,-778
194,-136,11254,22906,-514
195,-250,11780,23049,-1024
196,-491,11153,23036,-519
197,-673,11506,22914,-231
198,222,11059,22910,-758
199,23,10836,22921,-410
200,6,11491,22900,-260
201,-376,11520,23300,-370
202,-274,11644,22788,-896
203,0,11256,22902,135
204,-382,11404,23168,-138
205,1,11647,23041,-765
206,-538,11388,23039,-260
207,-342,11390,22911,-626
208,-122,11265,23161,-927
209,-291,11663,23303,252
210,-498,11892,23041,-501
211,-125,11495,23294,-382
212,-388,11404,23417,139
213,-256,11513,23032,-153
214,-379,11256,23180,-644
215,-123,11265,23167,-361
216,-263,11407,22910,-118
217,-102,11905,23038,-276
218,-12,11648,23040,-1147
219,-115,11527,23168,136
220,131,11774,23040,114
221,-4,11369,23168,-775
222,-14,11278,23033,-215
223,-412,11660,22907,258
224,-356,11510,22917,-53
225,16,11266,23169,-372
226,-292,11648,23040,135
227,-615,11536,23167,-255
228,-121,11370,22787,-257
229,-243,11912,22784,-135
230,384,11274,22773,129
231,-364,11752,23158,-384
232,-278,11536,23045,-639
233,138,11519,23152,-383
234,-101,11395,23302,-247
235,-29,11395,23037,-643
236,-80,11264,23296,-137
237,-517,11386,22800,-362
238,-130,11173,22885,-654
239,-620,10983,23287,-261
240,-517,11771,23069,-621
241,-518,11402,22651,-771
242,-259,11385,23293,-2
243,-391,11520,22782,-526
244,-129,11392,22785,-495
245,-376,11266,22781,7
246,-144,11520,22914,-139
247,-242,11263,23168,-771
248,-265,11369,22655,-899
249,7,11780,23169,-133
250,-507,11262,23040,374
251,-260,11788,23296,-642
252,-385,11773,23024,7
253,-129,11647,22790,-11
254,-251,11648,23431,-125
255,-143,11648,22888,131
256,-116,11526,22405,-9
257,-638,11259,23164,-515
258,-263,11770,22922,-522
259,-249,11803,22901,-134
260,-255,11150,23142,-131
261,-377,11368,23318,6
262,-380,11528,22793,-142
263,-501,11389,23142,266
264,-511,11767,22940,-602
265,-436,11426,22759,-421
266,-8,11079,23298,517
267,-256,12154,22797,-429
268,-377,11179,23149,-470
269,-125,11470,23057,233
270,-258,11910,22903,-151
271,23,11418,23160,-928
272,106,11135,23165,-44
273,-383,11263,23297,-237
274,4,11261,23168,-141
275,-258,11268,23297,-118
276,-129,11903,22905,-383
277,-255,11389,23168,-258
278,16,11264,23038,-263
279,-37,11649,22783,243
280,-374,11142,23157,268
281,16,11265,23171,-103
282,-303,11392,22785,-388
283,-365,11259,22784,-248
284,-113,11009,22920,-1021
285,-136,11264,23297,-510
286,-120,11135,23037,-394
287,-3,11392,23170,-769
288,-284,11263,22902,-288
289,-360,11618,22781,44
290,-11,11806,23162,-994
291,-517,11026,22933,-590
292,-126,11252,22766,-68
293,-384,11264,23285,-886
294,-124,11394,23173,-287
295,-640,11255,23295,-369
296,-257,11646,23053,-272
297,-384,11386,22912,-134
298,127,11776,22911,-1
299,-238,11315,23028,-116
300,-126,11497,23281,-350
301,-503,11778,23312,-797
302,-273,11648,22793,-13
303,-240,11638,22794,-632
304,-405,11278,22518,-777
305,-8,12040,23298,-128
306,-246,11491,23040,-641
307,-16,11519,23170,-237
308,-124,11261,22904,-7
309,3,11389,22913,-637
310,-251,11401,22912,-768
311,-130,12037,22913,250
312,-136,11505,22909,-382
313,129,11142,23168,-388
314,-244,11539,23041,-255
315,-257,11639,23168,-254
316,-262,11518,23165,-123
317,-225,11811,23032,16
318,-644,12011,22774,255
319,-149,11256,22932,-168
320,-367,11643,23427,-641
321,-276,11645,23426,-381
322,-124,11513,22915,-385
323,-240,11009,22911,-257
324,-271,11524,22659,-512
325,-116,11386,22776,-508
326,-361,11520,23422,-252
327,-193,11520,23169,-551
328,266,11518,23040,-1021
329,-206,11388,23042,-245
330,-276,11637,23168,-15
331,-218,11540,22792,-389
332,-355,11393,22658,382
