,CH1,CH2,CH3,CH4
0,-260,254,-381,2
1,-1,115,-384,-640
2,-510,-377,-257,-384
3,-256,768,-261,-768
4,-513,-264,-637,-381
5,-127,404,130,-650
6,-128,118,-380,-896
7,-129,-385,-128,-382
8,-383,-129,-384,-641
9,-257,-127,-384,-128
10,-262,262,-387,-892
11,380,-379,-131,-264
12,43,-14,-126,129
13,-640,-128,-128,-136
14,-259,-129,-128,-640
15,-385,1,-271,-644
16,-123,0,-508,-892
17,-9,1,6,-250
18,-516,256,-133,-644
19,-379,377,-250,-231
20,-253,-2,0,130
21,4,129,-258,-145
22,-1,-1,0,-895
23,-133,127,130,-378
24,-256,-262,-504,-130
25,-129,382,-262,-127
26,-383,129,-127,-253
27,-257,-1,-258,-512
28,-386,0,-256,-769
29,131,140,-254,-384
30,-129,510,-128,-640
31,128,-140,-122,-253
32,-129,-129,-5,-257
33,-7,-256,-513,-125
34,-515,123,1,-125
35,-242,124,-137,-514
36,128,-132,-256,-649
37,-257,252,-128,1
38,-121,35,-242,-873
39,-766,-251,-512,-1024
40,-517,515,-256,-895
41,-382,-25,2,-759
42,-130,-385,1,384
43,-133,-118,-258,375
44,-381,131,-126,-128
45,4,256,-134,-250
46,-252,126,-385,-1
47,-381,0,-122,-392
48,-128,0,1,-382
49,-512,-130,-129,-261
50,-519,-399,-127,-263
51,1,259,-255,125
52,-386,-637,-259,-879
53,126,256,-129,-628
54,0,0,-384,-128
55,4,-256,-256,120
56,126,-4,-384,-510
57,-387,-3,-128,-378
58,-384,-128,-384,-386
59,-264,122,-254,-512
60,-510,-512,-256,-385
61,131,-123,-256,-383
62,-252,0,-258,-256
63,-255,-128,-127,-646
64,-256,-131,-258,-904
65,-255,-1,-5,-262
66,-262,128,-125,-254
67,0,0,-385,-256
68,-128,0,-254,-388
69,-130,-378,125,-128
70,-255,253,-255,-637
71,1,-136,257,-512
72,-129,-129,-257,-381
73,-133,124,139,-640
74,-511,-510,2,-138
75,-383,2,-512,-126
76,-264,138,-131,-769
77,130,-129,-257,-265
78,-381,-2,-263,-272
79,-128,4,-128,257
80,-389,382,-383,-260
81,387,-133,-253,-635
82,-137,265,-256,-124
83,-501,113,-383,-396
84,128,-129,-257,-906
85,-393,-6,-256,-1009
86,-385,-386,-128,-249
87,-252,-387,-1,-259
88,-128,-384,-382,-390
89,-383,255,-512,-768
90,126,-249,-2,-259
91,-377,-6,-128,0
92,-261,-251,-128,-252
93,0,-384,-129,-640
94,-256,-129,0,-513
95,-130,-250,382,-890
96,-514,385,-259,5
97,-246,-519,-381,-273
98,-262,-130,-256,-513
99,-637,-7,-388,-379
100,-126,-512,-260,-257
101,-135,132,-1,-521
102,-385,-132,-382,-518
103,3,511,-129,0
104,-128,143,-259,-627
105,-256,0,-127,-765
106,-256,256,-640,-1159
107,-250,120,-121,-124
108,129,-256,-252,-380
109,-390,386,-511,-257
110,-250,-1,-382,-385
111,-3,384,-255,-4
112,-258,0,5,-512
113,-256,253,377,-257
114,-256,-255,-387,-640
115,-132,2,-379,-256
116,-511,387,-3,-373
117,-384,7,-125,-640
118,-263,-126,-131,-504
119,-248,-256,-3,-1025
120,-768,-128,133,-264
121,-260,-128,-384,-257
122,-256,0,-384,-120
123,-130,126,-511,-633
124,-383,-130,-2,252
125,-256,124,-3,-1429
126,-255,-512,-383,-651
127,-384,6,-256,-649
128,-257,0,-257,-1026
129,-257,128,-128,-259
130,-134,-119,-132,-383
131,-232,-130,2,-129
132,-766,-124,-253,-254
133,-388,-384,-257,-128
134,-384,-261,-385,-256
135,-384,1,-257,-632
136,-257,128,-512,128
137,-129,-125,-256,-783
138,-383,384,-384,-770
139,-383,-261,-387,-382
140,-384,-10,-770,-255
141,-384,384,-259,-515
142,-268,-247,-259,-902
143,129,122,-120,-274
144,-247,132,-630,-118
145,-130,3,-388,-257
146,-252,-507,-256,-250
147,-256,-248,-255,-640
148,-127,640,-127,-392
149,-513,248,-518,-128
150,-382,0,-514,-255
151,-5,388,9,-512
152,-516,387,-128,-253
153,-256,-2,-254,-768
154,-4,-1,-1,-258
155,131,-2,-255,-381
156,-248,121,-254,-273
157,-254,136,-384,8
158,-387,-127,-131,-503
159,-128,8,-1,-771
160,-380,124,-256,-899
161,-509,-387,-383,-120
162,-130,5,-256,-1
163,-2,-281,-386,-140
164,-128,-640,-255,-642
165,-127,-244,6,-639
166,-129,-4,128,-512
167,-256,-519,-129,0
168,-132,-144,-4,-255
169,4,511,0,0
170,-387,0,-257,-122
171,-2,384,0,-1026
172,-378,-125,-258,-640
173,-377,-1,-382,-256
174,0,-256,-257,-257
175,129,131,-516,-256
176,-5,-130,-381,-386
177,-250,5,-123,-375
178,127,0,0,-133
179,-396,1,127,-772
180,-254,0,0,-383
181,-394,-254,128,-384
182,-521,376,133,-253
183,0,132,-122,-635
184,-249,-126,-379,-776
185,-129,-128,-378,-514
186,-128,-3,-1,-388
187,-129,-255,-131,-129
188,-384,258,-130,-117
189,4,-5,-251,-640
190,-129,0,131,-256
191,-136,0,-143,-640
192,-512,0,-512,-383
193,-127,0,-383,-896
194,-252,130,-261,-129
195,-389,-127,128,-638
196,125,-4,-245,219
197,-129,-128,-261,9
198,254,-129,-3,-640
199,-130,1,0,-128
200,-258,-2,-513,-384
201,-129,7,131,-375
202,-257,257,-130,382
203,-1,128,0,-916
204,-385,121,-253,-896
205,128,-513,-385,-504
206,-380,-2,-512,-257
207,-256,-2,-256,-384
208,-386,2,-259,-637
209,-1,-131,-2,-642
210,-126,8,-238,-145
211,0,-384,-511,118
212,-252,-3,-257,-898
213,-508,254,-258,-510
214,3,-1,-257,-897
215,-132,144,-252,-504
216,5,640,-1,-640
217,-7,-658,-258,-379
218,-257,-249,-128,-381
219,-264,-257,-256,3
220,-639,-3,-128,-253
221,-256,256,-382,-384
222,-640,128,-397,-387
223,-126,129,2,-257
224,1,-256,-511,-502
225,-128,131,-125,-1024
226,-253,-130,-256,-901
227,-642,-382,3,130
228,-247,-257,-260,-512
229,-1,-245,-248,-769
230,-130,385,1,-643
231,-261,-19,-268,-126
232,-384,-264,-511,-380
233,-121,252,2,-384
234,0,-760,-256,-259
235,-257,-16,0,-128
236,-252,149,-235,-249
237,-512,-129,-512,-643
238,-258,132,-128,-900
239,-253,115,-260,-377
240,127,-391,-257,-128
241,-265,-236,-5,-125
242,-380,253,-515,0
243,-123,7,-507,-396
244,0,642,-515,-513
245,-130,251,-634,-507
246,-256,256,-127,-390
247,-128,382,-641,-1032
248,-381,-126,-257,-526
249,-387,128,-641,-2
250,-138,-379,-255,-885
251,0,0,-772,-499
252,-256,-128,-514,0
253,-381,-255,-254,122
254,-128,252,0,-255
255,-387,126,-258,-127
256,-384,128,-256,-388
257,-131,0,-517,-513
258,-254,128,-514,-386
259,127,2,-128,-2
260,-381,384,-126,-384
261,-253,-127,-253,-127
262,-255,-9,-382,-502
263,-381,0,-264,-517
264,-388,-3,1,-255
265,-385,125,-385,-512
266,-641,-256,-255,-127
267,-122,-122,-128,-640
268,-133,-1,-129,-513
269,-382,262,-260,-640
270,-256,385,-255,-384
271,-380,-128,0,-384
272,0,253,-128,125
273,-515,-1,0,-254
274,-387,-8,-255,-509
275,-385,250,-257,-518
276,-145,283,-390,-148
277,129,-257,0,-2
278,-379,-1,-125,-258
279,-381,-385,-256,-530
280,-257,275,-128,-1021
281,-384,503,-2,-246
282,-127,127,-128,-654
283,-135,387,-131,-1018
284,-512,125,-384,-505
285,-250,-3,-384,-386
286,-129,0,-386,-515
287,-129,256,0,-509
288,-265,20,-130,-256
289,253,-641,257,-511
290,-122,-10,-253,2
291,-384,256,-129,-769
292,0,255,-384,-128
293,-257,383,0,-779
294,0,256,-385,-636
295,-391,385,-250,-113
296,-386,257,2,126
297,-502,-2,-384,-132
298,0,129,-2,-257
299,-386,381,-386,-253
300,-129,-119,-518,-1
301,-515,-256,-128,-128
302,-512,-257,-500,-250
303,-770,-128,-385,-511
304,-258,0,-253,-516
305,-390,1,-639,-257
306,-513,128,-133,-510
307,-254,-5,-137,-382
308,-257,-258,-515,-384
309,-253,-248,-369,-383
310,-258,128,-130,-256
311,-383,-641,-385,-259
312,-128,0,-127,-510
313,-263,-641,-129,-512
314,-512,-292,-129,-252
315,-256,377,-128,-894
316,3,269,-244,-788
317,-252,-1,-514,126
318,-134,384,-132,-248
319,3,-512,-256,-511
320,-384,256,-129,-510
321,5,-515,-130,-769
322,2,121,-256,-639
323,-129,-137,-128,-508
324,-130,-640,-130,-257
325,-127,-504,0,-258
326,-511,125,-379,-384
327,-261,3,-513,-383
328,-127,238,-274,-643
329,-248,511,11,-7
330,-384,265,-636,124
331,-134,-128,-255,256
332,257,117,-379,-384
333,-514,511,-512,-388
334,-129,3,-393,-894
335,-387,-254,128,-885
336,-384,-128,-127,-257
337,-387,-256,-1,-769
338,-518,122,-381,-396
339,128,256,-259,127
340,-385,4,-363,-491
341,250,4,-782,-652
342,-106,-26,-15,-153
343,-256,515,-255,2
344,-380,-253,-1,-379
345,-382,260,-386,-640
346,255,0,-513,-1158
347,-130,-129,-251,-253
348,-257,-127,-127,-383
349,-387,126,-513,-640
350,-254,-256,-128,-388
351,128,128,-132,-384
352,135,-133,-511,-513
353,-508,507,-257,-256
354,-393,260,-246,-396
355,-385,389,-392,235
356,-256,0,126,12
357,-384,259,-130,-516
358,-383,-3,-256,-769
359,-380,-125,-127,-250
360,-2,1,2,-130
361,-4,9,-8,-126
362,-127,254,-513,-129
363,-257,-132,-245,-526
364,-257,2,0,-640
365,-384,-2,-386,-385
366,-262,-121,-384,-641
367,6,-512,-512,-256
368,-641,-155,-520,-384
369,119,384,-126,-386
370,132,134,-1,-768
371,2,4,-263,-244
372,0,256,-383,-130
373,-128,-261,12,-120
374,0,-128,256,127
375,-266,-252,122,-392
376,-382,256,1,-386
377,-259,119,-1,-635
378,-514,-256,-383,-128
379,-644,3,-384,-641
380,-651,5,-247,-398
381,0,-254,-516,-377
382,-242,-136,-5,-1010
383,-257,256,-260,-771
384,-128,-7,-255,-262
385,-385,-511,-510,-130
386,-256,3,-126,127
387,-250,-130,-254,-262
388,-2,0,-1,-513
389,-384,-3,-256,-512
390,3,-131,0,-640
391,-128,386,-387,-640
392,-2,524,-261,-386
393,2,-377,-128,-113
394,-129,-152,-510,-1158
395,-2,0,-260,-133
396,-126,-128,-257,-513
397,-127,1,0,0
398,128,1,-255,0
399,-259,261,-383,-132
400,-129,122,-257,-640
401,-2,-270,-385,-382
402,-513,-512,-135,-512
403,128,-383,127,-249
404,-376,-385,-384,-1
405,-386,-129,0,-128
406,128,-381,-379,-1029
407,-381,-260,-262,-2
408,-264,-21,-121,-761
409,-256,384,-254,-125
410,-124,-254,1,-644
411,-506,-120,-636,-511
412,257,385,136,-507
413,-395,122,-261,4
414,-124,0,-130,-392
415,-388,-132,-382,-370
416,-256,-127,129,-129
417,-384,-132,-3,-520
418,-126,-385,-128,-640
419,-266,130,-514,-638
420,-512,264,-132,-260
421,-127,0,-381,-380
422,-255,256,-258,-638
423,-127,1,-127,-640
424,-130,384,-129,-769
425,-137,-8,-257,-509
426,-643,261,-258,-256
427,-384,506,-518,-517
428,-503,-3,-378,-514
429,264,-127,-1,2
430,-131,121,-257,-376
431,-1,252,-257,-640
432,-383,-497,-512,-392
433,-256,-524,-386,126
434,-385,126,-120,7
435,-130,-260,-384,-388
436,-129,3,0,-896
437,-133,128,-513,-375
438,-513,127,-2,0
439,-124,-8,-145,-7
440,-260,-259,-509,-512
441,-257,13,129,-117
442,-384,384,-388,-128
443,-256,-7,11,-125
444,-257,-384,6,0
445,-128,129,-514,-404
446,3,0,-385,-901
447,-384,255,-512,-385
448,-128,377,-260,-1137
449,-384,768,-257,-752
450,-128,384,-256,-128
451,-125,-1,-256,-391
452,-4,125,-128,-257
453,-642,259,-131,-141
454,-256,512,-384,-899
455,-129,-132,-257,-373
456,-130,128,-512,-256
457,-387,-130,-384,-388
458,-386,126,-3,-640
459,-124,258,-124,-256
460,3,-374,-251,-509
461,-377,-3,-386,-136
462,-387,384,-256,132
463,-385,-8,-513,-256
464,-512,-256,-384,2
465,-385,-8,-512,-512
466,-511,-386,-126,-387
467,-116,258,-130,-512
468,-2,-255,-128,-637
469,-516,3,-130,-896
470,-258,128,-129,-395
471,-124,128,-2,-128
472,262,129,-384,-372
473,-506,-116,-257,-762
474,-279,-411,-507,-671
475,0,256,-384,-127
476,-380,-258,-129,-385
477,-251,263,-130,-392
478,125,-5,-256,-767
479,-387,-9,-513,-248
480,0,-513,-259,-521
481,-263,-109,-263,-630
482,-385,256,-512,-122
483,-130,-17,128,-134
484,-511,-384,-511,-519
485,-383,255,-256,-768
486,-261,-127,-126,-388
487,-2,375,-383,128
488,-124,-116,-260,-379
489,-384,-512,-132,-640
490,0,254,-384,-511
491,-387,-7,128,-258
492,-126,-129,-515,-515
493,-260,127,-506,-238
494,-125,-255,-128,127
495,2,-250,-252,-263
496,-130,128,128,-254
497,-511,-262,-128,-394
498,-130,-260,126,-642
499,-388,-256,-127,-128
500,-256,-268,-268,-106
501,0,256,1,-893
502,-255,0,-508,-646
503,-256,129,-505,-382
504,-256,0,-127,-1
505,-125,-1,-246,-262
506,-1,-129,382,-384
507,-271,-258,-405,-384
508,-510,-256,-122,-384
509,-126,3,120,-645
510,-384,126,-257,-771
511,-382,511,-129,-256
512,-257,15,-385,-385
513,-128,0,-4,-381
514,-251,-127,5,-1153
515,-259,0,-2,-514
516,-127,-256,4,-768
517,-380,-250,-384,-254
518,-518,384,-384,-256
519,-1,251,-516,-126
520,-509,-2,-642,-130
521,-255,258,-1,-520
522,-258,0,-383,-516
523,1,-254,0,-519
524,-513,126,-382,-1025
525,-1,-1,-129,-386
526,-508,256,-261,-512
527,-131,-121,126,-254
528,-509,-257,-247,-523
529,-131,-256,-385,128
530,-256,-10,-511,-768
531,-256,383,-512,-386
532,-129,-255,-387,-898
533,-131,3,-256,8
534,-384,-128,-259,-383
535,-128,-128,-2,-383
536,-634,-3,-508,0
537,-640,128,-258,-645
538,-263,-18,-262,-1164
539,-131,518,3,-397
540,-2,-248,-261,-272
541,-250,254,127,130
542,-515,-126,-126,-627
543,2,259,1,-640
544,2,256,-128,-901
545,-514,255,-127,-384
546,-512,-2,-127,-766
547,-382,-128,-396,-899
548,-127,-129,-512,-139
549,-128,0,0,129
550,-383,-7,-255,-381
551,-382,383,-1,-642
552,-644,129,-123,-391
553,-266,262,-251,-380
554,-379,-129,-512,-507
555,-512,-7,-255,-769
556,-254,-512,-128,-514
557,-640,144,0,-262
558,-130,-12,-1,-897
559,-134,-512,-134,-508
560,-129,9,-256,-900
561,128,252,-1,-617
562,-129,-4,-256,-128
563,-128,11,-128,-647
564,-256,380,-256,-517
565,-253,257,-128,-128
566,-519,96,-129,134
567,-128,896,-129,-770
568,-510,-250,-256,-256
569,-253,262,2,-387
570,-384,-128,-129,-127
571,1,-387,-126,-261
572,-388,-381,-130,-255
573,-253,-266,-394,-129
574,-253,-768,-510,-257
575,-3,-247,-127,-123
576,-387,0,-256,-1
577,-249,385,-128,-385
578,-126,261,-122,-269
579,-128,2,-258,-367
580,8,-7,-4,-1681
581,-383,384,0,-132
582,-257,-5,1,-640
583,-128,-126,-261,254
584,-128,130,-384,-117
585,-134,123,-384,-259
586,-384,-128,-384,-641
587,-257,130,-246,-509
588,-383,4,0,-638
589,-257,-257,-385,-1152
590,-643,-143,-3,-257
591,0,641,-128,-1016
592,-633,-213,6,-656
593,-143,-512,-385,-640
594,-127,-258,-2,-131
595,-129,6,-256,0
596,-256,384,-128,-128
597,-126,117,-385,-770
598,0,-1,-126,-897
599,-257,2,1,-1019
600,-128,129,5,-384
601,-258,125,-384,-133
602,-637,-1,128,-511
603,-514,256,-128,-384
604,-135,134,-131,-509
605,132,120,-1,-641
606,-499,390,-119,-389
607,-256,0,-256,-256
608,-252,255,-129,-388
609,-639,253,-138,-770
610,-254,128,-385,-506
611,-516,252,-256,-252
612,-382,0,-386,-393
613,-379,-12,-251,-761
614,5,-643,1,-253
615,1,-250,-6,-521
616,128,-1,-384,-514
617,-135,256,-1,-389
618,-256,132,-378,-527
619,-256,0,-133,635
620,-254,-2,-125,-111
621,-382,385,-384,-512
622,-126,126,-128,-640
623,-648,3,-257,-641
624,-243,128,-128,-640
625,116,-131,-255,-383
626,-511,-130,-131,-512
627,141,-513,-516,-509
628,-132,-8,-255,-260
629,-127,126,-261,-258
630,-129,-122,-385,-769
631,-2,-260,-130,-258
632,-508,7,20,-378
633,-133,-255,-512,-514
634,-123,259,0,-771
635,-382,-23,-260,-249
636,124,-377,-256,-128
637,-8,389,-380,-388
638,-256,-1,1,-384
639,-259,516,-262,-129
640,-259,-4,-255,-385
641,127,2,-126,-379
642,-256,0,0,-390
643,0,0,-129,-902
644,-385,-6,-254,-522
645,0,256,-382,-258
646,-499,4,-517,-1017
647,-385,0,-128,-497
648,-256,0,-384,0
649,-379,128,-253,-129
650,-2,0,-128,0
651,-642,129,-386,-137
652,-256,0,-384,-515
653,-396,-253,-639,-376
654,-509,128,-258,-127
655,2,-4,-256,-647
656,-379,-129,-514,-1024
657,-508,128,-132,-384
658,-129,-124,-247,-764
659,-380,0,-261,-265
660,-262,-129,-2,2
661,-256,-3,-130,-256
662,-257,-384,-512,-124
663,-1,0,-125,-512
664,-389,-383,-131,125
665,-378,136,-250,-384
666,-257,128,0,-639
667,-513,1,-257,-640
668,-259,129,0,-129
669,-129,-129,-258,-638
670,-252,0,-384,-771
671,-385,-130,-513,-648
672,-258,236,-521,-160
673,-257,251,-256,124
674,-127,1,-513,-387
675,-385,256,-127,-519
676,-257,-2,-384,-766
677,-379,262,9,-384
678,129,256,130,-640
679,-134,377,-262,-244
680,-255,0,-256,-392
681,-382,261,-1,-764
682,-129,0,-511,-258
683,-128,-257,-256,-901
684,-130,265,-253,-261
685,-128,-390,-513,383
686,-129,386,-255,-377
687,0,-640,-510,-765
