,CH1,CH2,CH3,CH4
0,-129,382,125,-633
1,-512,-2,-258,-1282
2,0,130,-384,-517
3,-246,-262,-255,-649
4,-384,384,-257,0
5,-386,-131,253,-1026
6,-134,259,382,-512
7,129,259,-262,-895
8,-252,380,-513,-127
9,-258,-639,-130,-512
10,-255,-11,-2,-381
11,-128,128,128,-1410
12,-257,-3,-385,-765
13,-257,-640,-126,-640
14,-517,-3,128,-769
15,-637,127,1,-898
16,-134,255,-255,-255
17,-253,256,-130,-892
18,-256,0,0,-392
19,-256,-127,-1,-127
20,-383,-1,-130,-640
21,-514,-384,-256,-512
22,-377,-130,0,-637
23,-767,2,-256,-646
24,-124,-255,0,-131
25,-263,-253,-128,0
26,-511,514,-256,256
27,-126,-3,2,-516
28,-128,-256,256,-769
29,5,383,-121,-771
30,-511,384,-386,-128
31,-134,381,-128,-3
32,0,-259,-129,-772
33,-383,-255,-387,-892
34,-387,129,-511,-382
35,-130,-2,-128,-259
36,-258,-257,0,-1028
37,-255,-128,0,-128
38,-258,-257,-129,-896
39,-387,1,-257,-768
40,-250,128,-255,-894
41,-2,0,-260,-128
42,-384,-256,-509,-767
43,-391,-5,127,-389
44,-1,0,-384,-768
45,-255,1,0,-1279
46,-384,130,-129,-629
47,-254,256,-257,-390
48,-517,126,-128,-1026
49,-1,-127,128,-897
50,-639,-256,-128,-768
51,132,-254,1,-758
52,-388,258,-132,125
53,133,-8,-255,-905
54,-398,-381,0,-505
55,-511,386,-128,-514
56,-511,128,-385,-1023
57,-514,252,-256,-640
58,0,-383,-384,-385
59,-384,260,-259,-771
60,-385,-131,-512,-639
61,-636,-128,0,-385
62,-384,-129,1,-764
63,0,-1,-256,-772
64,-392,2,1,-383
65,-637,514,0,-642
66,-252,122,-257,-894
67,-259,-128,-256,-638
68,-384,128,-128,-898
69,-129,-120,-128,-1156
70,-383,-384,-256,130
71,-512,515,-254,-781
72,-384,-8,0,-629
73,-256,-254,-129,-130
74,-255,129,-130,-900
75,-640,128,-641,-1024
76,-253,-127,-5,-129
77,-253,-128,-1,-896
78,0,1,-129,-896
79,-391,127,-256,-1022
80,-249,0,-127,-511
81,0,129,-128,-769
82,-255,387,-127,-640
83,-3,0,-383,-896
84,1,380,-383,-640
85,-255,-522,-129,-256
86,-257,-111,-256,-388
87,1,511,2,-512
88,-378,0,128,-384
89,-253,-133,1,-513
90,-266,127,-129,-511
91,-507,-385,-257,-513
92,-128,-121,-253,-643
93,-647,128,-3,-635
94,-505,-128,-512,-259
95,-8,255,-134,-1024
96,4,128,2,-776
97,-509,129,-386,128
98,-513,382,-383,-3
99,-257,-386,0,-516
100,-383,-126,-256,-896
101,-262,255,0,-640
102,-260,3,-128,-899
103,-641,0,0,-256
104,-245,-255,-255,-518
105,-6,132,0,-767
106,-644,256,-385,-512
107,-248,384,-255,-639
108,0,256,-127,-256
109,-124,-124,127,-640
110,-384,-256,0,-637
111,-258,1,-1,-645
112,0,0,-128,-1021
113,-127,131,0,-644
114,-382,256,-128,-1406
115,-384,-257,-385,-512
116,-258,384,-3,-1273
117,-649,252,256,-763
118,-632,-1,-3,-2
119,-250,2,-129,-771
120,-129,0,-384,-767
121,-257,-384,-256,-512
122,-383,-140,-256,-506
123,-260,255,-257,-1024
124,-127,-387,1,-123
125,-511,5,0,-384
126,-137,0,0,-514
127,133,0,0,-767
128,-379,-133,-256,-384
129,-256,512,-133,-387
130,-382,-124,0,-253
131,384,121,-128,-895
132,-261,258,-256,-641
133,6,-511,-128,-768
134,128,-6,-132,-513
135,-368,9,260,-520
136,-645,-255,-379,-249
137,-9,-129,-128,-1021
138,129,0,0,-643
139,-252,384,1,-387
140,-387,4,256,131
141,-375,-256,-126,-630
142,-510,-134,-127,-517
143,133,-1,-257,-768
144,-133,129,0,-898
145,-128,256,128,-256
146,-257,127,-129,-516
147,-388,0,0,-640
148,136,-129,-257,-128
149,-637,0,127,-766
150,-129,0,0,-768
151,-384,257,-257,130
152,-130,255,-256,-256
153,-377,0,-128,-3
154,-645,125,-512,-1022
155,-127,769,-258,-396
156,-388,0,-384,-380
157,-382,-128,-256,-515
158,-516,512,-127,-258
159,-511,-256,0,-896
160,-255,-385,-128,-899
161,-122,-6,-129,-645
162,-384,130,128,-388
163,-255,-128,-127,-126
164,-512,-126,-128,-385
165,-138,129,-129,-3
166,5,256,1,-1022
167,-251,-255,-130,-514
168,-386,-8,130,-515
169,-637,127,-384,-128
170,-257,128,-256,-896
171,-644,512,129,-640
172,-249,381,127,-767
173,-261,-130,-128,-256
174,-512,-3,0,-768
175,-259,510,-256,-514
176,-254,256,-1,-766
177,-511,253,-127,-768
178,-512,-516,127,-768
179,-516,-638,-256,-385
180,-131,-5,128,-511
181,-256,522,131,-762
182,-258,-510,-128,-1408
183,-512,7,0,-640
184,-122,253,512,-256
185,128,-129,-3,-645
186,-5,-1,-256,-510
187,-385,-257,256,-130
188,125,123,-252,-894
189,-250,1,-257,-640
190,-386,-256,-129,128
191,-384,257,-512,-512
192,-514,-1,0,-768
193,-129,-1,-384,-512
194,-383,-130,252,-1405
195,-384,383,1,-654
196,-384,0,130,-255
197,-253,256,-513,-510
198,-128,-2,4,-766
199,-386,-260,-258,-899
200,-640,128,-384,-512
201,-130,-502,-390,-776
202,-510,-384,257,-256
203,-261,1,-383,-1153
204,-252,-4,1,-512
205,-512,3,-2,-1152
206,-133,641,-127,-510
207,-2,388,-256,-512
208,-4,-386,-127,258
209,-386,256,-512,-1030
210,-382,128,-253,-1280
211,-257,384,256,-1020
212,-253,0,-257,-254
213,127,256,-1,-510
214,-128,3,-122,-766
215,128,-256,-386,-898
216,-254,-256,-128,-516
217,-384,129,-385,-256
218,-256,128,-384,-512
219,-511,128,-255,-768
220,-388,-385,-1,-514
221,-384,376,-1,-511
222,-384,128,0,-387
223,-125,255,-384,128
224,1,-131,-255,-384
225,-2,-127,-384,-643
226,-384,128,-256,-1024
227,-525,128,-512,-514
228,128,384,-132,-640
229,-382,126,128,-385
230,-128,0,-1,-772
231,-385,128,1,-1280
232,1,-2,-1,-894
233,-510,-384,-128,-642
234,-125,129,-3,-1282
235,-259,-512,1,-384
236,-249,8,-386,-640
237,-136,383,-384,-641
238,-511,-258,-381,-767
239,6,0,1,-384
240,0,-129,-129,-769
241,-126,253,-254,-135
242,-129,-130,-768,-512
243,1,-253,-128,-1026
244,-512,2,-129,-1019
245,-133,-131,-256,-638
246,-124,-385,-128,-769
247,-385,-388,-128,-768
248,-383,256,-256,-768
249,-386,126,2,-380
250,-381,-129,-134,-256
251,-255,4,-384,-391
252,-253,254,2,-896
253,2,-129,128,-511
254,1,127,-381,-510
255,-127,122,-384,-768
256,-256,-382,-256,-511
257,-256,389,0,-521
258,-383,-5,-261,-1408
259,-640,2,-512,-382
260,-256,514,-130,-892
261,-4,-254,-129,-770
262,-385,2,128,-1028
263,-128,258,0,-1151
264,-385,252,-385,-637
265,-126,1,-256,-770
266,-256,512,-384,-640
267,-512,7,-2,-768
268,-258,-128,0,-637
269,0,-121,-387,-645
270,-256,507,-380,-1162
271,-256,-645,0,-1004
272,-639,131,-256,642
273,-516,256,-2,-384
274,-257,124,-253,130
275,-517,510,-384,-896
276,-508,-387,-256,-1024
277,-384,134,-258,-509
278,-383,127,-254,-513
279,-256,-1,1,-770
280,-385,-129,-126,-770
281,-129,0,-256,-384
282,-129,-130,-127,-384
283,-1,-127,0,-384
284,1,6,0,-516
285,-381,121,-1,-639
286,-383,-640,-128,-128
287,-382,253,-128,-644
288,0,-256,-129,-1150
289,-257,258,-384,-503
290,-132,253,-127,-393
291,-516,-2,-258,-768
292,-252,-256,-256,-382
293,-251,255,-129,-512
294,-510,-128,-129,-514
295,-515,2,-129,-384
296,-257,382,-385,-514
297,-384,-386,-252,-896
298,-257,-126,1,-384
299,-131,254,0,-128
300,1,260,0,-259
301,-2,0,1,0
302,-261,9,-387,-769
303,-384,377,-379,-382
304,-253,-644,-1,-768
305,-129,-126,-515,-516
306,-257,0,-639,-1148
307,-258,-253,-259,-128
308,-129,-126,-2,-1031
309,-128,258,128,-634
310,-257,383,126,-373
311,-384,123,-256,124
312,-259,-256,128,-900
313,-128,127,2,-640
314,-132,0,0,-898
315,-378,-255,0,-384
316,-3,129,1,-898
317,-384,-5,-3,-253
318,-2,-256,-255,-129
319,-642,128,128,-384
320,-521,387,-127,-766
321,-130,-131,-256,-640
322,-381,-380,-127,-1
323,-646,-131,0,-640
324,251,-640,0,-510
325,-243,-128,0,-641
326,-515,128,-128,-640
327,-256,11,-4,-776
328,-385,-388,3,-256
329,-384,508,-512,-767
330,-256,256,-386,-641
331,2,385,-125,-512
332,256,-128,-385,-638
333,-4,3,244,-648
334,140,-384,259,-383
335,-768,125,0,-640
336,-129,256,-256,-385
337,-635,639,-255,-512
338,-140,387,-1,-383
339,-247,255,-130,-522
340,-256,258,133,-108
341,-257,129,-384,-1280
342,-252,1,0,-769
343,1,127,-128,-1152
344,-258,-127,0,-382
345,-515,128,0,-896
346,248,-257,127,-131
347,-121,252,1,-893
348,-383,0,-256,-1024
349,-512,-384,-128,-380
350,-385,1,-257,-2
351,-384,0,-256,-515
352,-261,255,123,-769
353,0,122,388,-767
354,-131,640,-129,-772
355,-258,-256,128,-258
356,-388,-256,127,-643
357,-512,128,128,-1024
358,-384,-384,128,-900
359,-382,-6,-127,-389
360,-387,3,-126,-386
361,-381,-256,-385,-254
362,-516,3,0,-892
363,-4,384,-128,-1279
364,-250,0,-1,-513
365,-257,0,0,-1024
366,-384,-1,-1,-521
367,-249,-255,0,128
368,129,-384,-128,-512
369,-142,512,127,-513
370,-380,-257,-256,-640
371,0,258,128,-512
372,-387,385,2,-640
373,-258,132,-1,-255
374,-256,-128,0,-892
375,-130,-127,0,-769
376,-127,257,128,-640
377,-385,255,127,-385
378,-11,0,0,-383
379,128,124,511,-639
380,-388,129,2,-640
381,-377,-256,-128,-640
382,2,129,-128,-384
383,-131,-2,127,-133
384,-257,257,-384,-641
385,-130,385,-128,-258
386,132,-127,259,-1023
387,-509,255,-383,-640
388,-257,0,0,-256
389,-512,-256,-256,-512
390,-128,-1,2,-640
391,-512,-385,256,-512
392,-129,-259,134,-510
393,-384,253,-255,-767
394,-129,128,-2,-642
395,-513,127,128,-640
396,-255,-1,2,-637
397,-513,-128,383,-898
398,-512,-257,-126,-386
399,-264,-125,-256,-641
400,-126,-128,-386,-384
401,-258,381,-1,-767
402,1,-258,-128,-128
403,-382,259,2,-641
404,-259,-1,128,-257
405,-251,-1,-127,-896
406,-385,134,-133,-511
407,-384,0,128,-1154
408,-385,511,-514,-894
409,-383,-256,-384,-510
410,-254,-131,-382,-386
411,-130,512,126,-895
