,,CH1,CH2,CH3,CH4,,GateV,Vf,If
75,-2.85E-06,-639,11260,11649,-893,,-0.09984375,1.759375,-0.000558125
76,-2.85E-06,-520,11392,12033,-256,,-0.08125,1.78,-0.00016
77,-2.85E-06,-1283,11267,11516,-641,,-0.20046875,1.76046875,-0.000400625
78,-2.84E-06,-762,11646,11137,-256,,-0.1190625,1.8196875,-0.00016
79,-2.84E-06,-767,10880,11778,-639,,-0.11984375,1.7,-0.000399375
80,-2.84E-06,-513,11515,11649,-384,,-0.08015625,1.79921875,-0.00024
81,-2.84E-06,-885,11134,11391,-1152,,-0.13828125,1.7396875,-0.00072
82,-2.84E-06,-1410,11136,11776,-249,,-0.2203125,1.74,-0.000155625
83,-2.83E-06,-515,11135,11520,-515,,-0.08046875,1.73984375,-0.000321875
84,-2.83E-06,-642,11009,11903,-389,,-0.1003125,1.72015625,-0.000243125
85,-2.83E-06,-895,11520,11392,-890,,-0.13984375,1.8,-0.00055625
86,-2.83E-06,-895,11518,11774,256,,-0.13984375,1.7996875,0.00016
87,-2.83E-06,-1153,11904,11520,-889,,-0.18015625,1.86,-0.000555625
88,-2.82E-06,-1013,11644,11777,-511,,-0.15828125,1.819375,-0.000319375
89,-2.82E-06,-262,11133,11898,-507,,-0.0409375,1.73953125,-0.000316875
90,-2.82E-06,-1028,11015,11261,255,,-0.160625,1.72109375,0.000159375
91,-2.82E-06,-509,11776,11526,-645,,-0.07953125,1.84,-0.000403125
92,-2.82E-06,-1027,11136,11646,-896,,-0.16046875,1.74,-0.00056
93,-2.81E-06,-640,11258,11007,-380,,-0.1,1.7590625,-0.0002375
94,-2.81E-06,-886,11262,11902,-896,,-0.1384375,1.7596875,-0.00056
95,-2.81E-06,-1030,10882,11391,386,,-0.1609375,1.7003125,0.00024125
96,-2.81E-06,-640,11524,11776,-640,,-0.1,1.800625,-0.0004
97,-2.81E-06,-1280,11263,11519,-509,,-0.2,1.75984375,-0.000318125
98,-2.80E-06,-646,11264,11648,-641,,-0.1009375,1.76,-0.000400625
99,-2.80E-06,-893,11264,11776,-384,,-0.13953125,1.76,-0.00024
100,-2.80E-06,-887,11137,11650,-256,,-0.13859375,1.74015625,-0.00016
101,-2.80E-06,-1536,11136,11771,-256,,-0.24,1.74,-0.00016
102,-2.80E-06,-765,11136,12160,-383,,-0.11953125,1.74,-0.000239375
103,-2.79E-06,-771,11262,11522,-639,,-0.12046875,1.7596875,-0.000399375
104,-2.79E-06,-770,11518,11521,-770,,-0.1203125,1.7996875,-0.00048125
105,-2.79E-06,-895,11395,11263,-385,,-0.13984375,1.78046875,-0.000240625
106,-2.79E-06,-640,10891,11890,-273,,-0.1,1.70171875,-0.000170625
107,-2.79E-06,-765,10873,12161,266,,-0.11953125,1.69890625,0.00016625
108,-2.78E-06,-645,11393,11776,-893,,-0.10078125,1.78015625,-0.000558125
109,-2.78E-06,-510,10624,11136,-385,,-0.0796875,1.66,-0.000240625
110,-2.78E-06,-894,11388,11777,-768,,-0.1396875,1.779375,-0.00048
111,-2.78E-06,-1027,11526,11392,-506,,-0.16046875,1.8009375,-0.00031625
112,-2.78E-06,-1018,11131,11775,-1046,,-0.1590625,1.73921875,-0.00065375
113,-2.77E-06,-1043,11784,11398,512,,-0.16296875,1.84125,0.00032
114,-2.77E-06,-513,10881,11519,-1024,,-0.08015625,1.70015625,-0.00064
115,-2.77E-06,-1287,11524,11520,-386,,-0.20109375,1.800625,-0.00024125
116,-2.77E-06,-890,11133,11264,-640,,-0.1390625,1.73953125,-0.0004
117,-2.77E-06,-896,11264,11395,1,,-0.14,1.76,0.000000625
118,-2.76E-06,-639,11136,12032,-640,,-0.09984375,1.74,-0.0004
119,-2.76E-06,-513,11525,11908,124,,-0.08015625,1.80078125,0.0000775
120,-2.76E-06,-751,10877,11648,-509,,-0.11734375,1.69953125,-0.000318125
121,-2.76E-06,-1282,11776,11776,-768,,-0.2003125,1.84,-0.00048
122,-2.76E-06,-770,11005,11775,128,,-0.1203125,1.71953125,0.00008
123,-2.75E-06,-897,11008,11647,-646,,-0.14015625,1.72,-0.00040375
124,-2.75E-06,-644,11008,11648,-512,,-0.100625,1.72,-0.00032
125,-2.75E-06,-507,11133,11263,-638,,-0.07921875,1.73953125,-0.00039875
126,-2.75E-06,-1023,11651,12022,-644,,-0.15984375,1.82046875,-0.0004025
127,-2.75E-06,-639,11264,12159,-261,,-0.09984375,1.76,-0.000163125
128,-2.74E-06,-774,12160,11904,127,,-0.1209375,1.9,0.000079375
129,-2.74E-06,-883,11648,11650,-389,,-0.13796875,1.82,-0.000243125
130,-2.74E-06,-391,11392,12032,-1152,,-0.06109375,1.78,-0.00072
131,-2.74E-06,-1283,11138,11776,-1161,,-0.20046875,1.7403125,-0.000725625
132,-2.74E-06,-767,10878,11905,-135,,-0.11984375,1.6996875,-0.000084375
133,-2.73E-06,-1019,11262,11528,-511,,-0.15921875,1.7596875,-0.000319375
134,-2.73E-06,-768,11264,11135,-250,,-0.12,1.76,-0.00015625
135,-2.73E-06,-899,11520,11648,-1278,,-0.14046875,1.8,-0.00079875
136,-2.73E-06,-513,11390,11777,-892,,-0.08015625,1.7796875,-0.0005575
137,-2.73E-06,-891,11008,11397,-259,,-0.13921875,1.72,-0.000161875
138,-2.72E-06,-893,11262,11133,-127,,-0.13953125,1.7596875,-0.000079375
