,,CH1,CH2,CH3,CH4,,GateV,Vf,If
1515,3.00E-08,6003,10240,3198,7935,,0.93796875,1.6,0.004959375
1516,3.20E-08,6024,9984,2684,8448,,0.94125,1.56,0.00528
1517,3.40E-08,6402,9728,2304,8067,,1.0003125,1.52,0.005041875
1518,3.60E-08,6399,9852,2303,8565,,0.99984375,1.539375,0.005353125
1519,3.80E-08,6138,9859,2567,9078,,0.9590625,1.54046875,0.00567375
1520,4.00E-08,6647,9344,1665,9731,,1.03859375,1.46,0.006081875
1521,4.20E-08,6658,9603,2304,8962,,1.0403125,1.50046875,0.00560125
1522,4.40E-08,6529,9599,1541,9090,,1.02015625,1.49984375,0.00568125
1523,4.60E-08,6401,9344,894,9469,,1.00015625,1.46,0.005918125
1524,4.80E-08,6161,9088,1403,9853,,0.96265625,1.42,0.006158125
1525,5.00E-08,5629,9222,1535,10239,,0.87953125,1.4409375,0.006399375
1526,5.20E-08,6146,8831,1664,10496,,0.9603125,1.37984375,0.00656
1527,5.40E-08,6149,9344,1408,10496,,0.96078125,1.46,0.00656
1528,5.60E-08,6658,8832,1152,10497,,1.0403125,1.38,0.006560625
1529,5.80E-08,6392,9088,1408,10883,,0.99875,1.42,0.006801875
1530,6.00E-08,6268,8830,1280,11264,,0.979375,1.3796875,0.00704
1531,6.20E-08,6013,8573,894,10880,,0.93953125,1.33953125,0.0068
1532,6.40E-08,6149,8707,1658,11134,,0.96078125,1.36046875,0.00695875
1533,6.60E-08,6655,8192,1665,11010,,1.03984375,1.28,0.00688125
1534,6.80E-08,6276,8577,1403,11007,,0.980625,1.34015625,0.006879375
1535,7.00E-08,6145,8448,897,11264,,0.96015625,1.32,0.00704
1536,7.20E-08,6268,8577,1409,11776,,0.979375,1.34015625,0.00736
1537,7.40E-08,7041,8704,1280,11263,,1.10015625,1.36,0.007039375
1538,7.60E-08,6281,8456,1278,12024,,0.98140625,1.32125,0.007515
1539,7.80E-08,6528,8191,1535,12042,,1.02,1.27984375,0.00752625
1540,8.00E-08,6270,8577,1408,11264,,0.9796875,1.34015625,0.00704
1541,8.20E-08,6269,8191,1536,12288,,0.97953125,1.27984375,0.00768
1542,8.40E-08,6147,8449,1280,12023,,0.96046875,1.32015625,0.007514375
1543,8.60E-08,6660,8062,1664,11517,,1.040625,1.2596875,0.007198125
1544,8.80E-08,6521,7934,1664,11266,,1.01890625,1.2396875,0.00704125
1545,9.00E-08,5888,8569,1407,12159,,0.92,1.33890625,0.007599375
1546,9.20E-08,6394,8323,1537,11520,,0.9990625,1.30046875,0.0072
1547,9.40E-08,6276,7808,1150,12032,,0.980625,1.22,0.00752
1548,9.60E-08,6144,8451,1153,11648,,0.96,1.32046875,0.00728
1549,9.80E-08,6144,8574,1409,11520,,0.96,1.3396875,0.0072
1550,1.00E-07,6270,8061,1536,12032,,0.9796875,1.25953125,0.00752
1551,1.02E-07,6527,7936,1665,12034,,1.01984375,1.24,0.00752125
1552,1.04E-07,6529,8061,1535,12030,,1.02015625,1.25953125,0.00751875
1553,1.06E-07,6268,8065,1665,12159,,0.979375,1.26015625,0.007599375
1554,1.08E-07,6148,7678,1279,11906,,0.960625,1.1996875,0.00744125
1555,1.10E-07,6661,7679,1415,11649,,1.04078125,1.19984375,0.007280625
1556,1.12E-07,6523,7549,2048,11646,,1.01921875,1.17953125,0.00727875
1557,1.14E-07,6143,8194,1411,11901,,0.95984375,1.2803125,0.007438125
1558,1.16E-07,6272,7552,1279,12022,,0.98,1.18,0.00751375
1559,1.18E-07,5891,8320,1278,12160,,0.92046875,1.3,0.0076
1560,1.20E-07,6143,8445,1535,11522,,0.95984375,1.31953125,0.00720125
1561,1.22E-07,6141,8058,1536,12673,,0.95953125,1.2590625,0.007920625
1562,1.24E-07,6527,7682,1536,11901,,1.01984375,1.2003125,0.007438125
1563,1.26E-07,6272,8194,1409,11904,,0.98,1.2803125,0.00744
1564,1.28E-07,6402,8191,1279,12032,,1.0003125,1.27984375,0.00752
1565,1.30E-07,5896,8325,1534,11908,,0.92125,1.30078125,0.0074425
1566,1.32E-07,6016,7936,1664,11007,,0.94,1.24,0.006879375
1567,1.34E-07,5891,8320,1790,11780,,0.92046875,1.3,0.0073625
1568,1.36E-07,6398,7936,1278,12032,,0.9996875,1.24,0.00752
1569,1.38E-07,5883,8063,1409,11775,,0.91921875,1.25984375,0.007359375
1570,1.40E-07,6411,8192,1534,11905,,1.00171875,1.28,0.007440625
1571,1.42E-07,6782,7937,1921,11522,,1.0596875,1.24015625,0.00720125
1572,1.44E-07,6161,8064,1414,11395,,0.96265625,1.26,0.007121875
1573,1.46E-07,5757,8192,1152,11259,,0.89953125,1.28,0.007036875
1574,1.48E-07,6142,8063,1663,11903,,0.9596875,1.25984375,0.007439375
1575,1.50E-07,6144,8191,1021,11392,,0.96,1.27984375,0.00712
1576,1.52E-07,6400,7936,1280,11136,,1,1.24,0.00696
1577,1.54E-07,6150,7937,1151,11267,,0.9609375,1.24015625,0.007041875
1578,1.56E-07,5887,7558,1533,10500,,0.91984375,1.1809375,0.0065625
1579,1.58E-07,6145,7424,1536,11005,,0.96015625,1.16,0.006878125
1580,1.60E-07,6271,7426,1408,11264,,0.97984375,1.1603125,0.00704
1581,1.62E-07,6402,7941,1535,11136,,1.0003125,1.24078125,0.00696
1582,1.64E-07,6527,8319,1151,10751,,1.01984375,1.29984375,0.006719375
1583,1.66E-07,6269,7808,1280,10880,,0.97953125,1.22,0.0068
1584,1.68E-07,6144,7549,1283,10753,,0.96,1.17953125,0.006720625
1585,1.70E-07,6280,7935,1025,10624,,0.98125,1.23984375,0.00664
1586,1.72E-07,5760,7807,1280,10753,,0.9,1.21984375,0.006720625
1587,1.74E-07,6394,7805,1537,11007,,0.9990625,1.21953125,0.006879375
1588,1.76E-07,6528,7169,1534,10498,,1.02,1.12015625,0.00656125
1589,1.78E-07,6272,8067,1407,11135,,0.98,1.26046875,0.006959375
1590,1.80E-07,6527,7934,1408,10365,,1.01984375,1.2396875,0.006478125
1591,1.82E-07,6150,7556,1148,10360,,0.9609375,1.180625,0.006475
1592,1.84E-07,6145,7167,1537,10880,,0.96015625,1.11984375,0.0068
1593,1.86E-07,6277,7686,895,10752,,0.98078125,1.2009375,0.00672
1594,1.88E-07,6521,8064,1287,10236,,1.01890625,1.26,0.0063975
1595,1.90E-07,6014,7807,1406,10115,,0.9396875,1.21984375,0.006321875
1596,1.92E-07,6537,7808,1279,10624,,1.02140625,1.22,0.00664
1597,1.94E-07,6392,7809,1409,10112,,0.99875,1.22015625,0.00632
1598,1.96E-07,5888,7553,1408,10629,,0.92,1.18015625,0.006643125
1599,1.98E-07,6141,7680,1280,9472,,0.95953125,1.2,0.00592
1600,2.00E-07,6015,7550,768,9472,,0.93984375,1.1796875,0.00592
1601,2.02E-07,6271,7686,1281,9221,,0.97984375,1.2009375,0.005763125
1602,2.04E-07,6143,7934,1149,10120,,0.95984375,1.2396875,0.006325
1603,2.06E-07,6398,7164,1024,9982,,0.9996875,1.119375,0.00623875
1604,2.08E-07,6399,6908,1024,9601,,0.99984375,1.079375,0.006000625
1605,2.10E-07,6398,7424,768,9600,,0.9996875,1.16,0.006
1606,2.12E-07,5882,7424,1284,9342,,0.9190625,1.16,0.00583875
1607,2.14E-07,5889,7552,1275,9347,,0.92015625,1.18,0.005841875
1608,2.16E-07,5892,7292,1022,9336,,0.920625,1.139375,0.005835
1609,2.18E-07,6283,7171,1282,8705,,0.98171875,1.12046875,0.005440625
1610,2.20E-07,6396,7681,1664,9345,,0.999375,1.20015625,0.005840625
1611,2.22E-07,6142,7552,1284,8958,,0.9596875,1.18,0.00559875
1612,2.24E-07,6144,7555,1152,9472,,0.96,1.18046875,0.00592
1613,2.26E-07,6015,8067,1280,9087,,0.93984375,1.26046875,0.005679375
1614,2.28E-07,6272,7928,1403,9217,,0.98,1.23875,0.005760625
1615,2.30E-07,6272,7423,1024,8830,,0.98,1.15984375,0.00551875
1616,2.32E-07,6528,7682,1280,8702,,1.02,1.2003125,0.00543875
1617,2.34E-07,6275,7933,1024,8320,,0.98046875,1.23953125,0.0052
1618,2.36E-07,6272,7939,1150,8698,,0.98,1.24046875,0.00543625
1619,2.38E-07,6015,7168,1407,8959,,0.93984375,1.12,0.005599375
1620,2.40E-07,6013,8066,896,8444,,0.93953125,1.2603125,0.0052775
1621,2.42E-07,5759,7291,897,8061,,0.89984375,1.13921875,0.005038125
1622,2.44E-07,6157,7681,1151,7936,,0.96203125,1.20015625,0.00496
1623,2.46E-07,6781,7680,768,8066,,1.05953125,1.2,0.00504125
1624,2.48E-07,5760,7426,1022,8445,,0.9,1.1603125,0.005278125
1625,2.50E-07,5756,7424,1152,8701,,0.899375,1.16,0.005438125
1626,2.52E-07,6013,7423,1149,7928,,0.93953125,1.15984375,0.004955
1627,2.54E-07,6397,7163,1025,7807,,0.99953125,1.11921875,0.004879375
1628,2.56E-07,6656,7177,1409,7682,,1.04,1.12140625,0.00480125
1629,2.58E-07,6912,8062,1406,8065,,1.08,1.2596875,0.005040625
1630,2.60E-07,6401,6784,1027,8064,,1.00015625,1.06,0.00504
1631,2.62E-07,6657,7287,766,8195,,1.04015625,1.13859375,0.005121875
1632,2.64E-07,6013,7552,895,7296,,0.93953125,1.18,0.00456
1633,2.66E-07,6405,7289,640,7040,,1.00078125,1.13890625,0.0044
1634,2.68E-07,6403,6914,895,6917,,1.00046875,1.0803125,0.004323125
1635,2.70E-07,6786,7683,642,7810,,1.0603125,1.20046875,0.00488125
1636,2.72E-07,6392,7680,1151,7546,,0.99875,1.2,0.00471625
1637,2.74E-07,6271,7688,895,6912,,0.97984375,1.20125,0.00432
1638,2.76E-07,6271,6913,1535,7552,,0.97984375,1.08015625,0.00472
1639,2.78E-07,6397,7432,1151,7040,,0.99953125,1.16125,0.0044
1640,2.80E-07,6656,7550,1407,7295,,1.04,1.1796875,0.004559375
1641,2.82E-07,6400,7421,895,6391,,1,1.15953125,0.003994375
1642,2.84E-07,6528,7425,1154,6400,,1.02,1.16015625,0.004
1643,2.86E-07,6275,7552,768,6528,,0.98046875,1.18,0.00408
1644,2.88E-07,6149,7551,641,6528,,0.96078125,1.17984375,0.00408
1645,2.90E-07,6019,7293,512,6656,,0.94046875,1.13953125,0.00416
1646,2.92E-07,6268,6785,640,6527,,0.979375,1.06015625,0.004079375
1647,2.94E-07,5753,7556,513,6395,,0.89890625,1.180625,0.003996875
1648,2.96E-07,6029,7037,637,6014,,0.94203125,1.09953125,0.00375875
1649,2.98E-07,6272,6912,256,6018,,0.98,1.08,0.00376125
1650,3.00E-07,6140,7806,763,6144,,0.959375,1.2196875,0.00384
1651,3.02E-07,6013,7296,774,6144,,0.93953125,1.14,0.00384
1652,3.04E-07,6144,7168,385,6272,,0.96,1.12,0.00392
1653,3.06E-07,6016,7424,1025,6269,,0.94,1.16,0.003918125
1654,3.08E-07,6143,7167,758,5628,,0.95984375,1.11984375,0.0035175
1655,3.10E-07,6143,7167,385,5248,,0.95984375,1.11984375,0.00328
1656,3.12E-07,6269,6912,1024,5376,,0.97953125,1.08,0.00336
1657,3.14E-07,6648,7161,898,5369,,1.03875,1.11890625,0.003355625
1658,3.16E-07,6522,7296,513,5888,,1.0190625,1.14,0.00368
1659,3.18E-07,5884,7046,644,5113,,0.919375,1.1009375,0.003195625
1660,3.20E-07,6287,7681,1026,4867,,0.98234375,1.20015625,0.003041875
1661,3.22E-07,6780,7164,894,4991,,1.059375,1.119375,0.003119375
1662,3.24E-07,6007,7296,510,4734,,0.93859375,1.14,0.00295875
1663,3.26E-07,6152,7296,384,5001,,0.96125,1.14,0.003125625
1664,3.28E-07,6528,7291,638,5248,,1.02,1.13921875,0.00328
1665,3.30E-07,6147,7680,898,3577,,0.96046875,1.2,0.002235625
1666,3.32E-07,6271,7293,126,4110,,0.97984375,1.13953125,0.00256875
1667,3.34E-07,6271,7041,513,4484,,0.97984375,1.10015625,0.0028025
1668,3.36E-07,6527,7555,512,4220,,1.01984375,1.18046875,0.0026375
1669,3.38E-07,6017,7296,512,3077,,0.94015625,1.14,0.001923125
1670,3.40E-07,6267,7039,518,2304,,0.97921875,1.09984375,0.00144
1671,3.42E-07,6141,7424,-127,-630,,0.95953125,1.16,-0.00039375
1672,3.44E-07,5631,7295,128,-381,,0.87984375,1.13984375,-0.000238125
1673,3.46E-07,6161,7553,-4,256,,0.96265625,1.18015625,0.00016
1674,3.48E-07,6533,7547,-127,-517,,1.02078125,1.17921875,-0.000323125
1675,3.50E-07,6521,7168,-3,-1024,,1.01890625,1.12,-0.00064
1676,3.52E-07,6009,7680,-126,-384,,0.93890625,1.2,-0.00024
1677,3.54E-07,6017,7551,641,260,,0.94015625,1.17984375,0.0001625
1678,3.56E-07,6265,7808,-380,-640,,0.97890625,1.22,-0.0004
1679,3.58E-07,6402,7548,-383,-375,,1.0003125,1.179375,-0.000234375
1680,3.60E-07,6271,7687,-128,-128,,0.97984375,1.20109375,-0.00008
1681,3.62E-07,6652,8193,127,-1159,,1.039375,1.28015625,-0.000724375
1682,3.64E-07,6539,7936,-384,-1276,,1.02171875,1.24,-0.0007975
1683,3.66E-07,5883,7804,-386,-896,,0.91921875,1.219375,-0.00056
1684,3.68E-07,6773,8071,0,-775,,1.05828125,1.26109375,-0.000484375
1685,3.70E-07,6528,7424,-255,-510,,1.02,1.16,-0.00031875
1686,3.72E-07,6397,8311,128,-1277,,0.99953125,1.29859375,-0.000798125
1687,3.74E-07,5885,8322,257,-1409,,0.91953125,1.3003125,-0.000880625
1688,3.76E-07,5890,7683,-254,-1153,,0.9203125,1.20046875,-0.000720625
1689,3.78E-07,6146,8055,120,-1279,,0.9603125,1.25859375,-0.000799375
1690,3.80E-07,6272,8706,398,-1161,,0.98,1.3603125,-0.000725625
1691,3.82E-07,6138,8196,-382,-1143,,0.9590625,1.280625,-0.000714375
1692,3.84E-07,6523,8319,0,-1667,,1.01921875,1.29984375,-0.001041875
1693,3.86E-07,6404,8320,-384,-1025,,1.000625,1.3,-0.000640625
1694,3.88E-07,6272,7681,130,-1537,,0.98,1.20015625,-0.000960625
1695,3.90E-07,6408,8059,128,-768,,1.00125,1.25921875,-0.00048
1696,3.92E-07,5760,7945,1,-1529,,0.9,1.24140625,-0.000955625
1697,3.94E-07,6501,7538,119,-1029,,1.01578125,1.1778125,-0.000643125
1698,3.96E-07,6655,8445,385,-1536,,1.03984375,1.31953125,-0.00096
1699,3.98E-07,6389,8317,-128,-1535,,0.99828125,1.29953125,-0.000959375
1700,4.00E-07,5886,8188,128,-1920,,0.9196875,1.279375,-0.0012
1701,4.02E-07,6148,7683,-128,-1403,,0.960625,1.20046875,-0.000876875
1702,4.04E-07,6144,8192,128,-1024,,0.96,1.28,-0.00064
1703,4.06E-07,6143,7430,255,-2039,,0.95984375,1.1609375,-0.001274375
1704,4.08E-07,6397,7677,257,-2052,,0.99953125,1.19953125,-0.0012825
1705,4.10E-07,6274,7680,0,-1152,,0.9803125,1.2,-0.00072
1706,4.12E-07,6272,7937,127,-1152,,0.98,1.24015625,-0.00072
1707,4.14E-07,6273,7935,-128,-1027,,0.98015625,1.23984375,-0.000641875
1708,4.16E-07,5890,7680,128,-1537,,0.9203125,1.2,-0.000960625
1709,4.18E-07,6137,7807,130,-1282,,0.95890625,1.21984375,-0.00080125
1710,4.20E-07,6524,7930,-3,-1408,,1.019375,1.2390625,-0.00088
1711,4.22E-07,6527,8320,255,-1155,,1.01984375,1.3,-0.000721875
1712,4.24E-07,6397,7680,-256,-897,,0.99953125,1.2,-0.000560625
1713,4.26E-07,6271,7680,6,-1026,,0.97984375,1.2,-0.00064125
1714,4.28E-07,6402,7168,512,-1280,,1.0003125,1.12,-0.0008
1715,4.30E-07,6266,7679,128,-1532,,0.9790625,1.19984375,-0.0009575
1716,4.32E-07,5760,7423,-128,-1798,,0.9,1.15984375,-0.00112375
1717,4.34E-07,6380,7807,126,-1034,,0.996875,1.21984375,-0.00064625
1718,4.36E-07,6408,7424,-127,-767,,1.00125,1.16,-0.000479375
1719,4.38E-07,6143,7426,-256,-1021,,0.95984375,1.1603125,-0.000638125
1720,4.40E-07,6523,7552,-131,-1536,,1.01921875,1.18,-0.00096
1721,4.42E-07,6538,7424,513,-1026,,1.0215625,1.16,-0.00064125
1722,4.44E-07,6263,7552,1,-1023,,0.97859375,1.18,-0.000639375
1723,4.46E-07,6780,7430,258,-1280,,1.059375,1.1609375,-0.0008
1724,4.48E-07,6399,6914,-256,-1152,,0.99984375,1.0803125,-0.00072
1725,4.50E-07,6533,6912,384,-1152,,1.02078125,1.08,-0.00072
1726,4.52E-07,6522,7296,124,-1666,,1.0190625,1.14,-0.00104125
1727,4.54E-07,6011,6911,-512,-1532,,0.93921875,1.07984375,-0.0009575
1728,4.56E-07,6275,7171,128,-512,,0.98046875,1.12046875,-0.00032
1729,4.58E-07,6005,7805,130,-1408,,0.93828125,1.21953125,-0.00088
1730,4.60E-07,5636,7693,-124,-1023,,0.880625,1.20203125,-0.000639375
1731,4.62E-07,6777,6656,-386,-1919,,1.05890625,1.04,-0.001199375
1732,4.64E-07,6789,7172,258,-1154,,1.06078125,1.120625,-0.00072125
1733,4.66E-07,6528,7681,126,-1408,,1.02,1.20015625,-0.00088
1734,4.68E-07,6402,7423,256,-512,,1.0003125,1.15984375,-0.00032
1735,4.70E-07,6016,7424,128,-1407,,0.94,1.16,-0.000879375
1736,4.72E-07,6265,7310,-1,-899,,0.97890625,1.1421875,-0.000561875
1737,4.74E-07,6272,6401,128,-1531,,0.98,1.00015625,-0.000956875
1738,4.76E-07,6146,6918,0,-1408,,0.9603125,1.0809375,-0.00088
1739,4.78E-07,6529,7033,128,-1024,,1.02015625,1.09890625,-0.00064
1740,4.80E-07,6139,6659,0,-1280,,0.95921875,1.04046875,-0.0008
1741,4.82E-07,6014,7553,128,-896,,0.9396875,1.18015625,-0.00056
1742,4.84E-07,5891,7042,-128,-1154,,0.92046875,1.1003125,-0.00072125
1743,4.86E-07,6526,6910,126,-1282,,1.0196875,1.0796875,-0.00080125
1744,4.88E-07,6404,6913,255,-768,,1.000625,1.08015625,-0.00048
1745,4.90E-07,6273,6528,382,-771,,0.98015625,1.02,-0.000481875
1746,4.92E-07,6269,7039,-130,-1408,,0.97953125,1.09984375,-0.00088
1747,4.94E-07,6528,6400,-128,-1280,,1.02,1,-0.0008
1748,4.96E-07,6144,7041,-128,-1152,,0.96,1.10015625,-0.00072
1749,4.98E-07,6527,6784,-7,-1152,,1.01984375,1.06,-0.00072
1750,5.00E-07,6271,7034,514,-775,,0.97984375,1.0990625,-0.000484375
1751,5.02E-07,6654,7169,0,-513,,1.0396875,1.12015625,-0.000320625
1752,5.04E-07,5882,6653,509,-892,,0.9190625,1.03953125,-0.0005575
1753,5.06E-07,6150,6530,-645,-1535,,0.9609375,1.0203125,-0.000959375
1754,5.08E-07,6140,7167,132,-1286,,0.959375,1.11984375,-0.00080375
1755,5.10E-07,5888,7042,384,-1019,,0.92,1.1003125,-0.000636875
1756,5.12E-07,6272,7039,2,-1421,,0.98,1.09984375,-0.000888125
1757,5.14E-07,6543,6912,124,-512,,1.02234375,1.08,-0.00032
1758,5.16E-07,5761,7044,257,-1410,,0.90015625,1.100625,-0.00088125
1759,5.18E-07,6518,7165,-128,-1023,,1.0184375,1.11953125,-0.000639375
1760,5.20E-07,6532,6522,386,-1151,,1.020625,1.0190625,-0.000719375
1761,5.22E-07,6275,6531,128,-639,,0.98046875,1.02046875,-0.000399375
1762,5.24E-07,6139,7294,258,-768,,0.95921875,1.1396875,-0.00048
1763,5.26E-07,6527,6925,-383,3,,1.01984375,1.08203125,0.000001875
1764,5.28E-07,6138,6528,128,-1669,,0.9590625,1.02,-0.001043125
1765,5.30E-07,6148,6913,127,-1149,,0.960625,1.08015625,-0.000718125
1766,5.32E-07,6394,6912,-130,-894,,0.9990625,1.08,-0.00055875
1767,5.34E-07,5895,6784,-384,-641,,0.92109375,1.06,-0.000400625
1768,5.36E-07,6785,6785,-128,-1024,,1.06015625,1.06015625,-0.00064
1769,5.38E-07,6010,6402,-511,-772,,0.9390625,1.0003125,-0.0004825
1770,5.40E-07,6505,6784,-131,-635,,1.01640625,1.06,-0.000396875
1771,5.42E-07,6792,7296,-128,-900,,1.06125,1.14,-0.0005625
1772,5.44E-07,6145,6395,-128,-129,,0.96015625,0.99921875,-0.000080625
1773,5.46E-07,6528,6530,3,-640,,1.02,1.0203125,-0.0004
1774,5.48E-07,6272,6912,384,-765,,0.98,1.08,-0.000478125
1775,5.50E-07,6529,6530,131,-1535,,1.02015625,1.0203125,-0.000959375
1776,5.52E-07,6144,6399,-385,-1285,,0.96,0.99984375,-0.000803125
1777,5.54E-07,6399,6527,128,-1282,,0.99984375,1.01984375,-0.00080125
1778,5.56E-07,6014,6655,128,-896,,0.9396875,1.03984375,-0.00056
1779,5.58E-07,6407,6401,510,-896,,1.00109375,1.00015625,-0.00056
1780,5.60E-07,6656,6784,-130,-385,,1.04,1.06,-0.000240625
1781,5.62E-07,6528,6400,0,-1157,,1.02,1,-0.000723125
1782,5.64E-07,6400,6782,-513,-1538,,1,1.0596875,-0.00096125
1783,5.66E-07,5765,6784,-2,-768,,0.90078125,1.06,-0.00048
1784,5.68E-07,6264,6784,-256,-641,,0.97875,1.06,-0.000400625
1785,5.70E-07,6404,6784,130,-1026,,1.000625,1.06,-0.00064125
1786,5.72E-07,5760,6911,254,-1026,,0.9,1.07984375,-0.00064125
1787,5.74E-07,5886,6527,-1,-1408,,0.9196875,1.01984375,-0.00088
1788,5.76E-07,6269,6656,0,-1022,,0.97953125,1.04,-0.00063875
1789,5.78E-07,6530,6522,257,-903,,1.0203125,1.0190625,-0.000564375
1790,5.80E-07,6271,7296,0,-512,,0.97984375,1.14,-0.00032
1791,5.82E-07,6532,6396,256,-1664,,1.020625,0.999375,-0.00104
1792,5.84E-07,6526,6655,-6,-1022,,1.0196875,1.03984375,-0.00063875
1793,5.86E-07,6255,6273,-256,-1409,,0.97734375,0.98015625,-0.000880625
1794,5.88E-07,5761,6912,-129,-639,,0.90015625,1.08,-0.000399375
1795,5.90E-07,6277,6273,-254,-1023,,0.98078125,0.98015625,-0.000639375
1796,5.92E-07,6144,6646,128,-896,,0.96,1.0384375,-0.00056
1797,5.94E-07,6151,6527,-384,-1152,,0.96109375,1.01984375,-0.00072
1798,5.96E-07,5758,6530,-256,-1151,,0.8996875,1.0203125,-0.000719375
1799,5.98E-07,6527,6790,256,-891,,1.01984375,1.0609375,-0.000556875
1800,6.00E-07,5888,7037,-258,-644,,0.92,1.09953125,-0.0004025
1801,6.02E-07,6393,6526,0,-1024,,0.99890625,1.0196875,-0.00064
1802,6.04E-07,6659,6652,-256,-639,,1.04046875,1.039375,-0.000399375
1803,6.06E-07,6270,7040,0,-1280,,0.9796875,1.1,-0.0008
1804,6.08E-07,6137,7036,2,-1019,,0.95890625,1.099375,-0.000636875
1805,6.10E-07,5762,6140,253,-891,,0.9003125,0.959375,-0.000556875
1806,6.12E-07,6279,6536,-257,-780,,0.98109375,1.02125,-0.0004875
1807,6.14E-07,6143,6907,0,-1792,,0.95984375,1.07921875,-0.00112
1808,6.16E-07,6268,6529,-256,-636,,0.979375,1.02015625,-0.0003975
1809,6.18E-07,6151,7294,124,-767,,0.96109375,1.1396875,-0.000479375
1810,6.20E-07,6786,7037,128,-1024,,1.0603125,1.09953125,-0.00064
1811,6.22E-07,5763,7041,-128,-1023,,0.90046875,1.10015625,-0.000639375
1812,6.24E-07,6016,6778,-123,-771,,0.94,1.0590625,-0.000481875
1813,6.26E-07,6272,6530,127,-1152,,0.98,1.0203125,-0.00072
1814,6.28E-07,6144,6912,-128,-640,,0.96,1.08,-0.0004
1815,6.30E-07,6273,6529,0,-1152,,0.98015625,1.02015625,-0.00072
1816,6.32E-07,6144,6911,-255,-393,,0.96,1.07984375,-0.000245625
1817,6.34E-07,6401,6783,-383,-522,,1.00015625,1.05984375,-0.00032625
1818,6.36E-07,6137,6786,0,-1538,,0.95890625,1.0603125,-0.00096125
1819,6.38E-07,5891,6911,-258,-1012,,0.92046875,1.07984375,-0.0006325
1820,6.40E-07,6273,6784,-382,-774,,0.98015625,1.06,-0.00048375
1821,6.42E-07,6146,6912,256,-1280,,0.9603125,1.08,-0.0008
1822,6.44E-07,6656,6403,3,-643,,1.04,1.00046875,-0.000401875
1823,6.46E-07,6148,6656,384,-649,,0.960625,1.04,-0.000405625
1824,6.48E-07,6016,6915,513,-1406,,0.94,1.08046875,-0.00087875
1825,6.50E-07,6015,7034,380,-638,,0.93984375,1.0990625,-0.00039875
1826,6.52E-07,6144,6402,-259,-1281,,0.96,1.0003125,-0.000800625
1827,6.54E-07,6272,7169,-253,-769,,0.98,1.12015625,-0.000480625
1828,6.56E-07,6014,6656,511,-1536,,0.9396875,1.04,-0.00096
1829,6.58E-07,6652,7038,4,-897,,1.039375,1.0996875,-0.000560625
1830,6.60E-07,6394,6783,128,-1408,,0.9990625,1.05984375,-0.00088
1831,6.62E-07,6137,6912,-1,-1536,,0.95890625,1.08,-0.00096
1832,6.64E-07,5885,6525,-131,-637,,0.91953125,1.01953125,-0.000398125
1833,6.66E-07,6288,6529,-381,-898,,0.9825,1.02015625,-0.00056125
1834,6.68E-07,6913,6785,129,-1025,,1.08015625,1.06015625,-0.000640625
1835,6.70E-07,6396,6785,-127,-899,,0.999375,1.06015625,-0.000561875
1836,6.72E-07,6015,6784,127,-384,,0.93984375,1.06,-0.00024
1837,6.74E-07,6394,6787,1,-1280,,0.9990625,1.06046875,-0.0008
1838,6.76E-07,6656,7038,384,-764,,1.04,1.0996875,-0.0004775
1839,6.78E-07,6273,6652,-2,-896,,0.98015625,1.039375,-0.00056
1840,6.80E-07,6272,6784,0,-641,,0.98,1.06,-0.000400625
1841,6.82E-07,6277,6656,0,-1026,,0.98078125,1.04,-0.00064125
1842,6.84E-07,5884,7037,383,-1152,,0.919375,1.09953125,-0.00072
1843,6.86E-07,6402,7039,254,-1015,,1.0003125,1.09984375,-0.000634375
1844,6.88E-07,6275,6784,1,-251,,0.98046875,1.06,-0.000156875
1845,6.90E-07,6522,7174,255,-658,,1.0190625,1.1209375,-0.00041125
1846,6.92E-07,5884,7295,0,-1406,,0.919375,1.13984375,-0.00087875
1847,6.94E-07,6407,6912,512,-894,,1.00109375,1.08,-0.00055875
1848,6.96E-07,6399,7168,387,-1280,,0.99984375,1.12,-0.0008
1849,6.98E-07,6405,6784,130,-904,,1.00078125,1.06,-0.000565
1850,7.00E-07,6016,6913,1,-256,,0.94,1.08015625,-0.00016
1851,7.02E-07,6145,7040,383,-899,,0.96015625,1.1,-0.000561875
1852,7.04E-07,5886,6911,-258,-1026,,0.9196875,1.07984375,-0.00064125
1853,7.06E-07,6526,6786,128,-1280,,1.0196875,1.0603125,-0.0008
1854,7.08E-07,6272,7424,-256,-768,,0.98,1.16,-0.00048
1855,7.10E-07,6531,6672,128,-385,,1.02046875,1.0425,-0.000240625
1856,7.12E-07,6014,6400,-257,-640,,0.9396875,1,-0.0004
1857,7.14E-07,6402,6918,262,-1023,,1.0003125,1.0809375,-0.000639375
1858,7.16E-07,6407,6912,638,-1030,,1.00109375,1.08,-0.00064375
1859,7.18E-07,7038,7038,254,-1527,,1.0996875,1.0996875,-0.000954375
1860,7.20E-07,6134,6784,256,-252,,0.9584375,1.06,-0.0001575
1861,7.22E-07,6146,7040,256,-1033,,0.9603125,1.1,-0.000645625
1862,7.24E-07,6145,6525,386,-1152,,0.96015625,1.01953125,-0.00072
1863,7.26E-07,6398,7168,-256,-1151,,0.9996875,1.12,-0.000719375
1864,7.28E-07,6273,6527,385,-1026,,0.98015625,1.01984375,-0.00064125
