,CH1,CH2,CH3,CH4
0,1020,125,-126,1661
1,1152,384,484,1277
2,894,128,638,1542
3,1279,386,640,1393
4,894,255,645,377
5,1291,252,632,390
6,1409,0,257,119
7,1400,252,774,-118
8,893,4,761,652
9,1156,641,510,882
10,1152,131,384,4
11,1279,256,512,647
12,1024,123,770,1269
13,1153,385,378,1664
14,1275,-128,773,1291
15,1533,387,-2,640
16,1025,128,899,132
17,1417,401,255,-375
18,1403,636,643,896
19,1008,-4,124,-262
20,646,384,539,1017
21,1291,120,888,1530
22,1281,127,-1,906
23,1529,128,640,640
24,896,247,119,1015
25,1409,394,384,1408
26,1162,-375,128,923
27,1275,133,249,-3
28,1540,256,256,246
29,892,376,384,511
30,1149,1,767,512
31,1021,383,385,1024
32,1151,-1,385,768
33,893,522,255,1279
34,1148,381,524,896
35,1406,384,895,1267
36,1152,384,508,-7
37,1280,512,513,659
38,1281,387,126,771
39,1154,383,128,511
40,1025,384,123,501
41,1150,384,645,900
42,1408,128,-133,1152
43,1407,1,380,1944
44,1407,509,764,2308
45,1278,251,128,745
46,1280,128,383,643
47,1536,517,0,517
48,1277,512,520,770
49,1021,129,513,0
50,895,639,256,640
51,1025,386,510,118
52,1024,-4,264,-264
53,1027,383,-4,748
54,892,263,374,1792
55,1152,0,515,1152
56,1024,256,127,1409
57,1152,374,256,896
58,1024,-1,129,1149
59,1148,388,514,640
60,896,130,240,122
61,1281,-123,2,1280
62,1024,762,777,903
63,1281,252,640,897
64,1029,-136,640,534
65,1018,252,513,118
66,1412,253,512,1089
67,1024,382,624,1529
68,1405,127,1024,764
69,1280,261,258,622
70,1407,253,646,-257
71,1014,126,512,535
72,1025,257,511,761
73,1409,509,383,528
74,1153,255,511,1416
75,1155,251,384,1404
76,1280,-128,767,1273
77,1024,125,257,1032
78,1264,644,512,1919
79,1543,131,127,1148
80,896,507,638,1023
81,1408,384,267,247
82,1152,128,10,0
83,1410,384,1024,262
84,1150,128,373,381
85,1284,260,385,256
86,1147,511,762,658
87,897,509,-126,1533
88,1152,384,263,895
89,888,513,2,1411
90,765,390,387,646
91,1285,256,767,768
92,1280,389,514,1172
93,1024,0,282,133
94,1151,256,-131,379
95,1149,509,893,513
96,1024,128,111,1143
97,1284,390,-7,1266
98,1407,383,636,511
99,1276,249,127,1547
100,1281,0,783,1408
101,1274,519,509,1784
102,1024,386,377,517
103,1150,-1,128,768
104,896,244,511,658
105,1152,382,129,254
106,1270,389,507,1017
107,1662,128,518,640
108,1539,384,510,1015
109,1409,383,520,1405
110,1151,384,128,1027
111,1278,381,1149,1285
112,898,125,763,1405
113,1025,509,641,751
114,1151,-128,386,633
115,1280,261,512,1150
116,1155,134,128,386
117,1023,-129,249,512
118,1147,245,640,254
119,1158,256,394,1139
120,1024,380,378,1779
121,1150,384,513,1792
122,1152,259,383,1152
123,1024,128,384,1667
124,1151,256,385,1029
125,1150,126,640,373
126,1024,0,384,126
127,1152,129,386,770
128,1025,257,0,770
129,1024,256,378,638
130,1022,633,386,251
131,1150,392,502,759
132,1156,122,760,876
133,1025,383,777,1531
134,1020,381,513,1182
135,1151,638,635,0
136,896,128,896,364
137,1024,382,642,1153
138,1027,-256,386,643
139,1796,390,640,254
140,1275,514,235,1142
141,1152,383,0,1406
142,1022,252,513,1539
143,1278,511,8,526
144,1154,268,-3,598
145,1163,248,620,1533
146,1012,384,775,790
147,1920,119,260,517
148,1158,2,257,769
149,1286,521,640,259
150,1281,509,123,1027
151,889,379,262,493
152,1022,255,633,384
153,1409,260,128,391
154,1150,382,783,768
155,1024,-6,768,1025
156,1147,248,513,1151
157,1532,385,643,1152
158,1545,-8,256,898
159,1157,512,508,639
160,1021,134,254,768
161,1283,132,128,890
162,1280,384,384,641
163,893,258,127,1035
164,1157,382,135,889
165,1276,-3,649,-154
166,1152,384,874,154
167,1280,508,2,1921
168,1020,256,895,378
169,904,386,-1,512
170,1404,384,1152,398
171,1152,260,-100,129
172,1143,-7,369,363
173,1280,641,648,892
174,1152,251,514,1406
175,1151,258,642,1279
176,1024,513,-138,1532
177,1414,509,8,1406
178,1277,384,523,1278
179,1155,511,505,1023
180,1279,130,-8,897
181,1023,256,256,768
182,1151,129,894,770
183,1152,254,261,252
184,1268,490,512,535
185,1539,768,511,-254
186,1279,127,642,889
187,1535,509,384,1536
188,1156,-128,512,896
189,770,658,256,775
190,1278,245,511,1280
191,1281,141,258,495
192,1536,511,768,256
193,1278,259,259,901
194,1024,769,382,640
195,1151,-4,-128,768
196,1282,-138,256,257
197,1024,252,765,1014
198,1154,259,641,1668
199,1024,256,769,1014
200,1283,382,380,643
201,770,768,128,499
202,1411,382,259,-252
203,1014,258,255,778
204,1292,256,386,257
205,1529,123,379,1321
206,1019,131,137,1403
207,1154,385,768,1016
208,1154,258,122,766
209,1403,128,256,1024
210,1024,261,129,1017
211,1407,-1,374,1533
212,897,510,638,1041
213,1543,378,642,384
214,1795,128,382,768
215,1272,386,384,379
216,1151,124,375,384
217,1021,4,263,774
218,1022,257,893,1277
219,1030,256,120,1405
220,1280,259,125,1278
221,1150,0,3,1406
222,1279,254,902,904
223,1408,127,258,639
224,1289,370,254,1153
225,1023,382,746,249
226,1154,257,896,-518
227,896,376,128,655
228,1401,0,137,1152
229,1784,392,640,1414
230,1152,249,2,1408
231,1670,264,771,1009
232,1283,381,377,896
233,1281,0,642,1146
234,1280,512,507,504
235,1280,383,507,384
236,1280,247,637,632
237,1158,639,-256,634
238,1015,141,508,-761
239,1281,0,6,279
240,768,128,261,896
241,1031,-127,385,1412
242,1151,382,-2,1026
243,1021,-5,384,900
244,1024,0,638,1023
245,1536,259,256,633
