,CH1,CH2,CH3,CH4
0,-262,23058,-126,-618
1,-244,22653,-6,-530
2,-478,23039,-4,-383
3,-574,22534,119,-390
4,-98,22655,19,-139
5,-645,22517,-261,-122
6,-25,23137,108,-259
7,-256,23060,37,-224
8,-504,22909,-399,-657
9,-119,22919,365,-41
10,-261,22666,145,-305
11,-117,22650,243,-889
12,-142,22783,151,-556
13,-381,22657,-258,-479
14,-125,22400,128,-1046
15,-257,22657,128,225
16,6,22782,116,-358
17,116,23041,-257,-643
18,-273,23040,0,-522
19,-385,22663,-128,-258
20,-379,22525,-9,-610
21,-239,22785,253,-933
22,-122,22784,258,116
23,-134,23165,-258,-247
24,-117,22521,-251,-382
25,2,22781,7,-511
26,6,22912,128,0
27,-28,22788,129,-892
28,-530,22647,125,-1054
29,-215,23026,-126,-150
30,111,22932,-137,-483
31,-386,22658,128,-546
32,0,22777,-117,-224
33,-384,22799,-129,-759
34,-4,22647,-135,-510
35,-374,23035,118,-782
36,-389,22696,136,-28
37,-128,22730,-3,-454
38,-641,23286,132,-803
39,98,22969,-129,-72
40,-238,22902,238,-76
41,-133,23043,31,-904
42,-260,23036,-521,-157
43,112,23289,-13,-376
44,14,22646,-247,-521
45,-94,23063,-255,386
46,-508,23012,0,-4
47,-165,22798,116,-632
48,-18,23439,-388,2
49,265,23150,7,-638
50,-236,22914,256,-512
51,-262,23037,131,-143
52,-9,22781,1,257
53,11,22926,-129,-378
54,-258,23168,-130,-384
55,-3,22886,128,-506
56,-239,22520,-3,-412
57,-379,22538,134,-1022
58,-393,22653,112,-79
59,-139,22665,-128,237
60,-239,22914,-1,-394
61,-286,22389,-256,-502
62,267,22667,-4,129
63,-348,23161,128,-772
64,-42,22400,123,-768
65,13,23318,512,-252
66,-82,22909,4,-393
67,-612,22657,-128,-651
68,-330,22786,-1,-498
69,140,22794,-126,127
70,-239,22634,129,-669
71,-234,23154,-377,-901
72,-508,22930,-152,-272
73,-116,22915,10,-361
74,-390,22655,-384,-768
75,-121,23028,132,-376
76,-264,23419,119,-530
77,-247,22890,2,-490
78,0,22790,257,-150
79,-133,22912,-14,-931
80,-134,22784,-146,-433
81,-257,22782,-372,251
82,-114,23296,266,-536
83,-145,22659,127,-626
84,-255,23042,-7,377
85,-277,22780,-132,-658
86,-353,23056,386,-241
87,6,22894,-20,-806
88,-283,22797,149,-574
89,-235,23182,240,-311
90,-131,23022,-131,-1143
91,-276,22648,-14,-73
92,-219,22659,-379,-280
93,-12,22912,278,-508
94,-261,22785,263,-386
95,-130,23042,-129,-639
96,-252,22775,127,-382
97,-141,22796,-260,-510
