,CH1,CH2,CH3,CH4
0,-382,-642,0,-384
1,-894,-511,0,-384
2,-519,-382,-2,-513
3,-380,0,-512,-513
4,-1013,-510,-131,-384
5,-1278,-511,129,1
6,-1280,-768,-125,-382
7,-765,-642,-256,-510
8,-513,-640,-3,-895
9,-642,-771,385,-900
10,-897,-384,129,-510
11,-1152,-769,250,-777
12,-1269,-510,134,-131
13,-1422,-898,-256,-511
14,-512,-128,128,-128
15,-1279,-769,-129,-512
16,-915,126,0,-131
17,-502,-633,-127,-256
18,-1139,-393,-127,-118
19,-895,-512,-130,-896
20,-776,-386,256,-1026
21,-1277,-509,128,-384
22,-641,-1,128,-3
23,-1280,-512,256,-512
24,-644,-131,-126,-384
25,-502,-381,-256,-1022
26,-892,-384,-256,-896
27,-1277,-127,0,-254
28,-1792,-130,-128,-386
29,-1288,-640,0,-514
30,-765,-641,-255,-900
31,-1155,-391,-128,-257
32,-512,0,-126,-766
33,-1028,-512,384,-136
34,-765,-512,-130,-131
35,-1028,-512,257,-896
36,-897,-258,128,-1030
37,-1152,-131,255,-389
38,-889,-123,256,-513
39,-1410,-768,129,-130
40,-899,-252,-128,-510
41,-1152,-258,127,-768
42,-774,-640,3,-387
43,-1018,-386,-257,-128
44,-789,-255,-2,-509
45,-385,-384,-128,-640
46,-1029,-384,-128,-640
47,-900,-384,128,-769
48,-1541,0,-1,-894
49,-1019,-387,-128,-255
50,-1287,-773,-3,-512
51,-1274,124,3,-127
52,-511,-640,-384,-1017
53,-1149,-896,8,-1027
54,-643,-511,510,-384
55,-769,-638,-387,-129
56,-510,-2,-256,-256
57,-1026,-242,253,-253
58,-768,-769,384,-894
59,-1664,-125,256,-640
60,-629,-389,0,-384
61,-900,-771,0,-518
62,-639,-766,0,-768
63,-768,-260,384,-384
64,-640,255,-253,-767
65,-894,-125,-1,-640
66,-900,-512,-2,-129
67,-893,-641,-385,-896
68,-1536,-768,-128,-896
69,-1281,-640,-256,-640
70,-1283,-771,-4,-767
71,-643,-5,126,-518
72,-515,-255,129,-256
73,-900,-258,-256,-638
74,-1025,-642,130,-894
75,-1151,-639,129,-1028
76,-1024,-772,384,-387
77,-1152,-132,4,-640
78,-775,-512,-131,-384
79,-893,-514,127,-640
80,-1025,-505,-2,-256
81,-899,253,-255,-513
82,-895,-770,126,-384
83,-1149,-259,130,-512
84,-1160,-117,-511,-383
85,-895,-512,-128,-769
86,-895,-128,-127,-514
87,-772,-512,129,-1152
88,-1150,-515,127,-382
89,-640,255,-127,-640
90,-1155,-376,-131,-380
91,-903,-768,0,-1025
92,-1020,-384,0,-12
93,-1152,-514,257,259
94,-1024,-513,257,-896
95,-897,-768,511,-514
96,-894,-770,130,-379
97,-1022,-396,-3,-1022
98,-894,1,0,-515
99,-512,-642,-384,-384
100,-904,-379,4,-128
101,-1150,-257,-130,-1026
102,-896,-640,-512,-510
103,-1024,-645,-6,-384
104,-639,-127,4,-640
105,-1149,-896,-128,-512
106,-900,-128,256,-515
107,-768,-899,0,-1155
108,-766,-894,126,-765
109,-1281,-254,-384,-255
110,-897,-380,-6,-510
111,-1282,-513,0,-384
112,-890,-255,-130,-640
113,-772,-385,-383,-644
114,-896,-512,5,-1022
115,-765,-256,125,-128
116,-769,-511,3,-1025
117,-896,-650,385,121
118,-1022,-127,-256,-768
119,-1025,-386,-256,-766
120,-767,-123,127,-764
121,-1280,-262,-385,-385
122,-901,-1026,0,-769
123,-764,-776,-256,-640
124,-1024,-384,0,-896
125,-768,-898,0,-896
126,-1027,-765,128,-764
127,-764,-511,-1,-381
128,-1039,-387,-1,-516
129,-1411,-511,-128,-897
130,-1276,-129,-3,-768
131,-1150,-389,0,-640
132,-1282,-767,-384,-254
133,-768,-511,-119,-132
134,-640,-641,256,-642
135,-1024,-384,128,-513
136,-770,-510,0,-894
137,-896,-386,0,-517
138,-898,-129,0,-125
139,-1154,-645,128,-131
140,-1021,-507,0,-894
141,-893,-257,256,5
142,-639,-640,0,-386
143,-768,-382,-1,-514
144,-1022,-896,0,-2
145,-1280,-505,1,-772
146,-1153,-2,128,-380
147,-1024,-515,-1,-643
148,-640,-513,-129,-641
149,-639,-768,-130,-768
150,-895,-514,126,-383
151,-896,-641,127,-1024
152,-759,-765,0,-768
153,-394,-513,129,-390
154,-1156,-1026,-2,-1152
155,-899,-896,-132,-251
156,-1407,-897,-387,-254
157,-649,-769,381,-896
158,-635,-768,255,-128
159,-896,-774,126,-260
160,-641,-1021,-129,-386
161,-765,-379,0,-513
162,-1406,-128,-128,-512
163,-1159,-257,127,-512
164,-1154,-258,0,-511
165,-1147,-768,125,-250
166,-1028,-255,-385,-138
167,-1279,-770,3,-896
168,-890,-640,0,-511
169,-900,-128,0,-1024
170,-1149,-640,-1,-779
171,-1154,-256,-1,128
172,-1025,-643,-128,-1028
173,-1024,-1024,1,-893
174,-1152,-510,0,-128
175,-1154,-386,0,-512
176,-774,-130,-128,-1030
177,-770,-128,0,-128
178,-1031,-3,-130,-516
179,-1272,-389,2,-255
180,-509,-510,257,-382
181,-900,-384,256,-132
182,-770,-512,383,-765
183,-1153,-643,130,-128
184,-904,-385,-254,-1156
185,-512,-768,-383,-636
186,-895,-383,0,-895
187,-768,-385,-384,-514
188,-767,-384,0,-1021
189,-1147,-514,259,-384
190,-1279,0,-127,-1533
191,-888,-642,0,-508
192,-518,-127,-1,-514
193,-1031,-388,1,-385
194,-1029,-512,127,-768
195,-1275,-512,-129,-384
196,-768,-260,-1,-900
197,-1285,-387,1,384
198,-640,-895,-384,-265
199,-1278,-381,0,-640
200,-643,-641,127,-767
201,-1020,-512,-256,-638
202,-900,-637,-1,-512
203,-893,-649,-130,-643
204,-1024,-128,128,-259
205,-769,-761,-128,-255
206,-1281,-771,0,-510
207,-1026,-129,-125,-769
208,-1406,-382,-385,-514
209,-512,-260,-8,-397
210,-751,-509,3,-117
211,-1270,-641,-128,-1024
212,-1416,-256,128,-131
213,-769,-1023,0,-383
214,-1142,-522,126,-383
215,-1046,2,514,-516
