,CH1,CH2,CH3,CH4
0,-132,23170,22656,-641
1,-253,23168,23168,-896
2,-382,23040,22527,-640
3,-390,22916,23418,-515
4,-128,22656,22918,-258
5,-641,22656,23168,-382
6,-383,22655,23553,-768
7,-512,22913,22917,-516
8,-127,22658,22907,-509
9,-256,22900,23167,-776
10,-259,23170,22920,-380
11,-255,22912,22400,-1024
12,-383,23168,22784,-513
13,-385,23040,22784,-897
14,-249,23041,22910,-382
15,-769,22784,23294,-909
16,-268,23033,23054,12
17,-384,23040,22528,-1280
18,-125,23039,23040,-3
19,-128,22911,22912,-512
20,-132,23042,23040,-767
21,-513,23168,23040,-768
22,-259,23042,23168,-517
23,-248,23038,22786,-382
24,-512,23168,22656,-1152
25,-257,23039,22658,-383
26,-255,22911,23170,-901
27,-512,22912,23168,-1026
28,-134,22911,22784,-1279
29,3,23170,23038,-909
30,-257,22912,22912,-382
31,-258,23552,23168,-642
32,-514,22912,22908,-258
33,-384,23040,22785,-1024
34,-512,23039,23168,-900
35,-384,23171,23041,-767
36,-509,22782,22913,-776
37,-389,23168,22784,-129
38,-256,22654,22784,-891
39,-381,23170,22527,-1409
40,-512,23168,22904,-1026
41,-392,22784,23301,-899
42,-250,23165,22404,-390
43,-512,23039,22912,-256
44,-124,23296,22784,-1152
45,-259,23040,23170,-513
46,-389,22913,23295,-1281
47,-511,23296,22912,-640
48,-386,23042,23163,-1152
49,-642,22785,23297,-513
50,-388,22912,22914,-1149
51,0,23297,22786,-897
52,-127,23167,22912,-1024
53,-127,23166,22655,-769
54,-387,22782,22656,-767
55,-124,23552,22653,-1151
56,-768,22785,23167,-899
57,-247,23300,22912,-640
58,382,23036,22656,-512
59,-133,22781,22785,-635
60,132,22657,22912,-258
61,127,23165,22784,-1156
62,-126,23434,23042,-1154
63,-514,22656,22528,-768
64,-257,23296,22912,-255
65,-637,22781,22658,-512
66,-640,22656,23425,-1024
67,-384,22913,23040,-512
68,-513,22911,22911,-1154
69,-257,23042,23035,-132
70,-385,22784,23169,-766
71,-256,23040,22784,-256
72,-384,22910,23300,-762
73,-257,22527,23037,-898
74,-512,22654,22657,-519
75,-256,22659,22780,-253
76,-123,22784,23041,-640
77,-383,23294,22784,-897
78,-259,22782,22913,-899
79,-254,23042,23040,-1534
80,-383,22783,23040,-381
81,-261,22783,22912,-768
82,1,22914,22913,130
83,-259,22784,22784,-1413
84,-256,22783,23041,-1023
85,-386,22528,23040,-1150
86,-381,22910,23167,-383
87,-258,23041,22784,-768
88,-514,22529,23047,-385
89,-390,22912,22273,-515
90,-256,23040,22912,-128
91,-383,23038,22783,-638
92,-512,22656,22784,-640
93,-513,23168,22784,-256
94,-255,22913,22783,-637
95,-513,22909,22913,-641
96,-255,23039,22784,-641
97,-257,23039,23040,-384
98,-127,22910,22654,-640
99,-129,22784,22913,-255
100,-257,23040,23040,-386
101,-384,22784,23041,-769
102,-384,22912,22912,-128
103,-259,22783,22912,125
104,-126,22657,22913,-899
105,-512,23040,23167,-636
106,-386,22784,22783,-640
107,0,23041,22912,-513
108,-251,23044,22786,-900
109,-253,22402,22783,-256
110,-1,22534,23040,-768
111,-395,23170,22785,-642
112,-504,23038,23170,-895
113,6,22784,22906,-130
114,-5,22654,22921,-1279
115,-384,23291,23682,-522
116,-385,23168,22400,-896
117,-385,23291,22784,-1148
118,-129,22783,22913,-249
119,-255,23039,23040,-388
120,-386,22528,23168,-515
121,-7,23037,23168,-1022
122,-2,22784,22656,-1024
123,-515,22913,22788,-769
124,-253,23039,23040,-762
125,-386,22912,22910,-126
126,-256,23040,23041,-644
127,-385,22783,23168,-1028
128,-124,22783,22913,-1536
129,-124,22914,22912,-640
130,-640,23166,22912,-128
131,-256,22913,23296,-520
132,-512,23297,22908,-1282
133,-1,22910,22912,-895
134,-125,22780,23039,-894
135,-128,23295,23038,-771
136,-259,23037,23423,-381
137,-384,22531,22912,-516
138,-254,23038,23040,-1282
139,-258,22529,23037,-894
140,-384,23424,22400,-1152
141,-256,22925,22909,-769
142,-381,22528,22912,-1028
143,-513,23172,22790,-889
144,-130,22905,23551,-517
145,-128,22660,22653,-1023
146,-512,23168,22912,-254
147,-384,22656,22658,-512
148,-511,23167,22780,-255
149,-513,22784,23040,-896
150,-506,23296,22783,-640
151,-129,22651,22785,130
152,-518,22785,22782,-388
153,-381,23040,22787,-893
154,-385,22916,23168,-385
155,-516,22783,22785,-768
156,-3,23040,22912,-512
157,-127,22779,22912,-640
158,-257,22789,23040,-381
159,-1,23039,22915,-514
160,-128,22784,23168,-898
161,-125,22909,22402,-896
162,-515,22911,22657,-893
163,-637,22655,22778,-378
164,-514,22662,22402,-262
165,-640,23169,23302,-640
166,-377,22912,23168,-384
167,-258,23041,22659,-640
168,-382,22656,22523,-258
169,-260,22784,22783,-384
170,1,22656,22273,-387
171,-383,22913,23048,-1026
172,-256,22912,23039,-768
173,-514,23041,22912,-1152
174,-4,22536,23040,-523
175,-258,22528,22785,-384
176,-259,22920,22661,-1151
177,-508,23168,23295,-384
178,0,23035,22783,-894
179,-649,22785,23169,1
180,-634,23296,23167,-641
181,-255,23049,23040,-128
182,-382,22656,23040,-1031
183,-384,23170,22911,-1021
184,-384,23167,22783,-755
185,-384,22913,22656,-263
186,-385,23296,22912,-1279
187,-255,23043,22780,-256
188,-383,22528,23295,-1017
189,-2,23042,22911,-766
190,-514,22912,23166,-382
191,-126,23170,22653,-515
192,-517,23168,22916,-1025
193,-254,23040,23040,-640
194,-384,22915,22912,-892
195,-264,22784,22911,-1024
196,-123,22912,23041,-639
197,-640,22782,23168,-768
198,-131,22914,23041,-768
199,-382,23296,23424,-638
200,-255,23041,22786,-512
201,-512,23170,22777,-757
202,-256,22912,23041,-1028
203,-384,23291,22656,-767
204,-257,23298,22911,-1408
205,-515,22785,22915,-777
206,-380,22908,22655,-378
207,0,22797,23036,-908
208,-380,22398,22913,-126
209,-256,23037,22912,-1148
210,-511,23040,22656,-768
211,-385,22782,23042,-1155
212,-383,23425,23168,-132
213,-386,22658,22911,-880
214,-382,23165,23174,-896
215,-383,22530,22784,-1152
216,-124,22660,23168,-1024
217,-133,22912,22400,-1152
218,-386,22781,22785,-640
219,-255,22656,22784,-1152
220,-1,22783,23043,-768
221,131,22783,22528,-1280
222,-126,23040,23040,-768
223,-255,22912,23423,-384
224,-511,23039,22908,-642
225,-514,22656,22400,-641
226,-258,23038,22780,-767
227,-254,23041,22911,-646
228,-255,23040,23040,-382
229,2,22912,23040,-641
230,-1,23040,22655,-256
231,-2,22784,22784,-640
232,-258,22656,22656,-1023
233,-384,22654,23038,-1028
234,-265,22785,23047,-652
235,-2,22656,22528,-119
236,-250,22914,23040,-1405
237,-391,23168,22912,-1021
238,132,22912,22912,-514
239,-505,22784,22910,-514
240,-22,22789,23169,-131
241,126,22654,22912,-384
242,-391,23168,23168,-896
243,-383,22656,22910,-896
244,-386,22784,22657,-765
245,-252,22785,23296,0
246,-133,23169,23039,-768
247,-509,22911,23173,-770
248,128,23168,22272,-896
249,-511,22653,23176,-769
250,-3,22531,23035,-640
251,-383,23424,22656,-640
252,-384,22658,23040,-639
253,-513,22906,23039,-893
254,-256,22785,23169,-773
255,-256,22529,22784,-128
256,-263,22914,23168,-384
257,-637,22779,23167,-513
258,2,22657,22912,-900
259,-258,23165,23552,-1408
260,-128,23299,22529,-769
261,-381,23041,23295,-1152
262,-512,23040,22654,-254
263,-513,23168,22784,-512
264,-384,23038,22784,-640
265,-256,22783,22912,-640
266,-384,22912,22913,-513
267,-384,22788,22785,-388
268,-385,22655,22784,-253
269,-383,23040,22657,-894
270,-254,22783,23170,-772
271,-260,22912,23039,-638
272,-640,22401,22911,-770
273,-128,22782,23166,-392
274,-381,22784,22917,-512
275,-130,23294,22527,-1026
276,-130,22653,23042,-898
277,3,22915,23036,-1406
278,-510,22654,22784,-381
279,-387,22526,22911,-640
280,-260,23038,22910,-1151
281,4,22784,22912,-1023
282,125,22912,22400,-894
283,-387,22784,22913,-382
284,-252,22654,22654,-256
285,-390,23296,22399,-385
286,-638,22528,22781,-126
287,-134,23168,22780,-765
288,-377,22528,23424,-389
289,-512,22660,22653,-257
290,-384,22913,22661,-256
291,-256,23040,23040,-894
292,-514,22783,22785,-899
293,-130,23162,22655,-890
294,-385,23042,22784,-1029
295,-254,22656,22912,256
296,-260,23041,23041,-384
297,-380,22784,23038,-900
298,131,23040,22656,-1280
299,-128,23169,22911,-770
300,-517,22913,22659,-768
301,-130,22913,22784,-383
302,-384,23296,23167,-516
303,-256,23039,22652,-1281
304,-640,23167,22785,-766
305,-258,22911,22912,-640
306,-383,22914,22654,-646
307,-256,22654,23040,-256
308,-253,23298,22656,-1024
309,-3,23039,23172,-895
310,-391,23167,23039,-765
311,-386,22784,23036,-2
312,-641,22783,22529,-1151
313,-384,23047,23039,-388
314,-130,22656,22656,-1152
315,-128,23171,22912,-895
316,-127,22776,22912,-889
317,-511,22659,22912,-126
318,-514,23170,23168,-643
319,-262,23172,23296,-766
320,-129,22656,22528,-1152
321,-519,22785,22916,-1146
322,-643,23041,23042,-507
323,-633,23037,23295,-513
324,-252,22783,23039,-513
325,-523,22913,23040,-899
326,-636,23038,23170,-1152
327,-253,23421,22656,-640
328,-642,22651,22784,-385
329,256,22918,23041,-771
330,-768,23170,22910,-768
331,-386,23422,22912,-769
332,-517,22658,22913,-901
333,0,23166,22655,-256
334,-385,23166,23170,-900
335,3,22786,23168,-639
336,-265,23298,22911,-639
337,-511,23039,22914,-514
338,-254,23040,23424,-897
339,-384,22659,22914,-642
