,CH1,CH2,CH3,CH4
0,-376,22912,-129,-17
1,-114,23035,-1,-113
2,-132,23176,-3,-508
3,-129,22657,129,-385
4,-116,23552,126,-634
5,-1,23412,511,-886
6,-141,22650,-135,-1286
7,-270,22909,134,-252
8,-381,22912,-3,-266
9,-103,23037,128,-512
10,-19,23169,134,-391
11,-243,23045,386,-366
12,-17,23039,-246,-413
13,-505,22927,-18,147
14,267,22656,17,-925
15,-125,22794,-259,-941
16,-514,22411,-5,-148
17,-264,22624,-129,-133
18,-127,23034,118,16
19,-128,22921,11,-610
20,1,23019,-137,-432
21,-336,23053,260,-20
22,-644,22921,-234,-103
23,-395,22899,-143,-406
24,-383,23297,7,6
25,-266,22780,-12,-636
26,-139,22911,379,-393
27,-7,22800,126,-130
28,-92,23586,0,-770
29,-377,23397,387,-632
30,-265,22914,116,-650
31,-260,23161,0,-897
32,-130,22786,-2,-512
33,-132,23299,-133,-510
34,8,22906,131,-385
35,-495,23055,-385,-253
36,-523,23157,-5,-645
37,-260,22917,128,-490
38,-256,23019,-2,-293
39,-146,22400,-3,-1171
40,-111,23057,-129,-328
41,-511,22904,4,-53
42,-147,22912,-1,-1158
43,-234,23048,127,-499
44,-406,23295,260,-376
45,-127,23036,-128,-1025
46,-377,23041,382,-640
47,-65,23179,-122,-256
48,51,23423,-131,-520
49,-483,22909,0,-643
50,-402,22785,-128,-636
51,-390,22666,129,-384
52,-258,22513,3,-648
53,-281,23000,-133,-642
54,-1,23175,244,-274
55,-263,23161,135,-108
56,9,23297,-126,-768
57,-274,22919,-122,-370
58,-372,22790,375,-400
59,-1,23041,-391,-359
60,-254,22914,20,109
61,-149,23172,-9,-667
62,-481,23040,-154,-209
63,256,23039,-498,-3
64,-590,23296,132,-269
65,-611,23172,-256,-639
66,-350,22909,139,-254
67,-134,22921,128,-388
68,-418,23308,119,-401
69,-511,23152,-262,-775
70,-353,23047,19,-479
71,-129,23159,125,-244
72,-86,22910,-14,-285
73,255,23177,-115,-346
74,-181,23165,125,107
75,-238,22911,-130,-907
76,-299,23043,125,-379
77,-627,23034,1,-780
78,-247,22920,3,-632
79,-534,23300,-10,-498
80,-348,23016,-649,-260
81,-4,23056,-377,-518
82,-262,23295,4,-523
83,-131,23042,132,-771
84,-425,23161,-251,-5
