,CH1,CH2,CH3,CH4
0,-512,641,-387,-638
1,-383,-8,-380,-768
2,-384,-123,2,-510
3,-252,253,128,-772
4,-124,-127,0,-1154
5,-133,639,-386,-1158
6,-513,-9,0,-128
7,-129,-122,-256,-643
8,-256,515,-128,-899
9,-512,-4,-256,-1279
10,-257,-385,-128,-640
11,-506,-130,-255,-1149
12,-512,125,-513,-646
13,-254,639,1,-517
14,-389,-5,-256,-896
15,-640,-4,-256,-510
16,-381,-510,-128,-639
17,-255,640,-128,-386
18,-128,265,2,-1023
19,-381,0,-512,-763
20,-386,0,130,-644
21,-1,2,-260,-1030
22,-256,256,-128,-885
23,-768,-1,-130,-128
24,-387,0,-510,-768
25,-127,132,-514,-127
26,-387,-513,-254,-1024
27,-385,0,0,-768
28,-513,-643,-126,-1023
29,-382,-126,121,-383
30,-251,-1,-641,-641
31,-1,-261,120,-511
32,-380,383,3,-896
33,-262,-137,-640,-768
34,128,-251,4,-129
35,-383,-7,-128,-643
36,-257,-509,-1,-515
37,-256,512,-384,-1283
38,-137,-124,-258,-1278
39,126,-2,0,-640
40,-259,-514,-129,-1025
41,-129,-501,-129,-639
42,-522,385,-256,-1155
43,-510,-128,-128,-892
44,-382,-129,-256,-896
45,-263,128,-255,-1152
46,-250,-384,-384,-512
47,-771,129,-128,-129
48,126,-1,-383,-772
49,-254,-126,0,-1024
50,-387,510,-256,-384
51,-129,267,-256,-252
52,-258,-256,-257,-640
53,-123,-256,2,-764
54,124,-252,-3,-645
55,-390,128,-256,-1410
56,-381,-129,0,-764
57,-257,0,-128,-766
58,-384,125,-1,-384
59,-259,255,129,-1160
60,-128,-131,-257,-1402
61,-257,-384,0,-759
62,-1,-125,-257,-772
63,-511,256,-128,-895
64,-262,258,-511,-768
65,-129,-256,-130,-1024
66,-381,-251,-1,-638
67,-7,257,-257,-512
68,-643,-3,-127,-643
69,-121,128,-258,-1153
70,-386,128,-256,-896
71,2,-383,-129,-766
72,257,1,-128,-896
73,-121,-130,-257,-510
74,-386,3,-256,-640
75,-131,127,-256,-767
76,-376,-128,-256,-640
77,-771,251,-385,-768
78,-262,147,-4,-657
79,-384,-645,-125,127
80,-256,633,-256,-636
81,-387,4,-128,-1023
